"","Method","Replicate","Reference","Pattern","JSD","RMSE","MAE","Sum_RMSE","Sum_MAE","Corr"
"1","CITEgeist",0,"Full","High Seg",0.161089383380854,0.0808285614452546,0.0342502142397128,0.085891274864372,0.0342502142397128,0.949543794911543
"2","CITEgeist",0,"Full","Mixed",0.290434465154608,0.0829228038258995,0.0474295977330884,0.101455368040577,0.0474295977330884,0.884492713844438
"3","CITEgeist",1,"Full","High Seg",0.156209417089462,0.0868682767201365,0.0357756376881196,0.0908196924473939,0.0357756376881196,0.94491160723265
"4","CITEgeist",1,"Full","Mixed",0.298214819191575,0.0837170462733582,0.0475455893797921,0.100667118319369,0.0475455893797921,0.886253392335355
"5","CITEgeist",2,"Full","High Seg",0.141219957810412,0.0824356227383258,0.0335506811874711,0.0865916345081761,0.0335506811874711,0.950355245566729
"6","CITEgeist",2,"Full","Mixed",0.350059713171022,0.0946917892527797,0.0542928626968402,0.109354735180145,0.0542928626968402,0.861376770020407
"7","CITEgeist",3,"Full","High Seg",0.159901617329566,0.0846060983061437,0.0342190884430214,0.0880685579276843,0.0342190884430214,0.94615312237072
"8","CITEgeist",3,"Full","Mixed",0.298380753045988,0.0830839221044515,0.0476573478818507,0.102194154827392,0.0476573478818507,0.885119885758339
"9","CITEgeist",4,"Full","High Seg",0.151968138623815,0.0838767512409838,0.0342965063315182,0.0869086844145482,0.0342965063315182,0.94878933613716
"10","CITEgeist",4,"Full","Mixed",0.371383070396441,0.105455662268297,0.0598101649673276,0.119206122699307,0.0598101649673276,0.828969240310775
"11","Cell2Location",0,"Downsampled","High Seg",0.0498529364709225,0.0748421293917477,0.0240434082273612,0.0772886396655901,0.0240434082273612,0.962712337947103
"12","Cell2Location",0,"Downsampled","Mixed",0.447730903168467,0.164624958670526,0.0876343162643285,0.183581327199625,0.0876343162643285,0.71044054243325
"13","Cell2Location",0,"Full","High Seg",0.0512543535586125,0.0771261163108676,0.0244141996232519,0.0791414357478585,0.0244141996232519,0.960513470527996
"14","Cell2Location",0,"Full","Mixed",0.436877527515633,0.157901783106374,0.0838219738176958,0.177982410110782,0.0838219738176958,0.720565212366799
"15","Cell2Location",1,"Downsampled","High Seg",0.0469804795757002,0.0910409337764612,0.0284657099623031,0.094145080487465,0.0284657099623031,0.944630633245505
"16","Cell2Location",1,"Downsampled","Mixed",0.500544035935655,0.178533672978009,0.0966051095358172,0.196752297496349,0.0966051095358172,0.660457995924434
