cell_type,gene,score,pval_adj
Endothelial,RAMP2,103.5916519165039,0.0
Endothelial,PECAM1,102.702392578125,0.0
Endothelial,VWF,98.98877716064453,0.0
Endothelial,GNG11,98.5367431640625,0.0
Endothelial,RNASE1,98.41444396972656,0.0
Endothelial,ENG,98.25509643554688,0.0
Endothelial,PLVAP,98.18458557128906,0.0
Endothelial,SPARCL1,97.2530746459961,0.0
Endothelial,FKBP1A,96.24806213378906,0.0
Endothelial,EMCN,95.32049560546875,0.0
Endothelial,A2M,93.92410278320312,0.0
Endothelial,HLA-E,93.91080474853516,0.0
Endothelial,AQP1,93.69473266601562,0.0
Endothelial,CLEC14A,92.18465423583984,0.0
Endothelial,IFITM3,92.04280090332031,0.0
Endothelial,ADGRL4,91.81501007080078,0.0
Endothelial,NPDC1,91.20189666748047,0.0
Endothelial,IFI27,91.17826080322266,0.0
Endothelial,EGFL7,90.9303207397461,0.0
Endothelial,HSPG2,90.19271087646484,0.0
Endothelial,ESAM,89.74211883544922,0.0
Endothelial,VIM,89.4015121459961,0.0
Endothelial,IGFBP7,88.5602798461914,0.0
Endothelial,CD74,87.76850128173828,0.0
Endothelial,SPRY1,86.33367919921875,0.0
Endothelial,CRIP2,85.80949401855469,0.0
Endothelial,CLDN5,85.32799530029297,0.0
Endothelial,CD34,84.60559844970703,0.0
Endothelial,HLA-B,84.51194763183594,0.0
Endothelial,IGFBP4,84.37508392333984,0.0
Endothelial,RAMP3,83.72034454345703,0.0
Endothelial,TGFBR2,83.6596450805664,0.0
Endothelial,CAV1,83.40247344970703,0.0
Endothelial,TCF4,82.75839233398438,0.0
Endothelial,CD93,82.52713775634766,0.0
Endothelial,EPAS1,81.95263671875,0.0
Endothelial,TM4SF1,81.51771545410156,0.0
Endothelial,PTRF,81.05171203613281,0.0
Endothelial,HLA-A,79.76849365234375,0.0
Endothelial,CYYR1,78.86100006103516,0.0
Endothelial,PALMD,78.67132568359375,0.0
Endothelial,CD59,77.56106567382812,0.0
Endothelial,EMP1,77.11309814453125,0.0
Endothelial,CXorf36,77.08480072021484,0.0
Endothelial,VAMP5,77.00285339355469,0.0
