spot,nuclei_count
spot_1,6
spot_10,5
spot_100,7
spot_101,2
spot_102,6
spot_103,6
spot_104,6
spot_105,5
spot_106,4
spot_107,7
spot_108,5
spot_109,4
spot_11,9
spot_110,7
spot_111,2
spot_112,9
spot_113,9
spot_114,6
spot_115,6
spot_116,1
spot_117,6
spot_118,4
spot_119,6
spot_12,4
spot_120,7
spot_121,1
spot_122,5
spot_123,10
spot_124,6
spot_125,3
spot_126,6
spot_127,9
spot_128,5
spot_129,7
spot_13,6
spot_130,1
spot_131,7
spot_132,6
spot_133,6
spot_134,6
spot_135,8
spot_136,6
spot_137,8
spot_138,10
spot_139,5
spot_14,3
spot_140,2
spot_141,9
spot_142,6
spot_143,8
spot_144,8
spot_145,4
spot_146,3
spot_147,10
spot_148,3
spot_149,6
spot_15,7
spot_150,6
spot_151,5
spot_152,5
spot_153,11
spot_154,5
spot_155,3
spot_156,8
spot_157,2
spot_158,5
spot_159,3
spot_16,6
spot_160,3
spot_161,4
spot_162,7
spot_163,8
spot_164,6
spot_165,5
spot_166,3
spot_167,3
spot_168,8
spot_169,8
spot_17,5
spot_170,4
spot_171,6
spot_172,9
spot_173,4
spot_174,5
spot_175,4
spot_176,1
spot_177,9
spot_178,6
spot_179,9
spot_18,5
spot_180,6
spot_181,3
spot_182,6
spot_183,5
spot_184,6
spot_185,6
spot_186,6
spot_187,5
spot_188,1
spot_189,4
spot_19,6
spot_190,9
spot_191,6
spot_192,3
spot_193,6
spot_194,4
spot_195,4
spot_196,5
spot_197,8
spot_198,3
spot_199,6
spot_2,6
spot_20,4
spot_200,5
spot_201,6
spot_202,2
spot_203,6
spot_205,1
spot_206,1
spot_207,3
spot_208,6
spot_209,2
spot_21,12
spot_210,5
spot_211,5
spot_212,5
spot_213,5
spot_214,4
spot_215,7
spot_216,5
spot_217,4
spot_218,2
spot_219,4
spot_22,10
spot_220,3
spot_221,4
spot_222,4
spot_223,3
spot_224,8
spot_225,3
spot_226,6
spot_227,7
spot_228,7
spot_229,5
spot_23,9
spot_230,1
spot_231,3
spot_232,5
spot_233,3
spot_234,4
spot_235,1
spot_236,4
spot_237,7
spot_238,5
spot_239,3
spot_24,3
spot_240,5
spot_241,6
spot_242,5
spot_243,6
spot_244,9
spot_245,7
spot_246,7
spot_247,7
spot_248,6
spot_249,3
spot_25,9
spot_250,4
spot_251,6
spot_252,5
spot_253,6
spot_254,5
spot_255,5
spot_256,2
spot_258,4
spot_259,3
spot_26,2
spot_260,5
spot_261,9
spot_262,3
spot_263,5
spot_264,10
spot_265,2
spot_266,8
spot_267,5
spot_268,2
spot_269,4
spot_27,7
spot_270,7
spot_271,4
spot_272,5
spot_273,6
spot_274,2
spot_275,7
spot_276,3
spot_277,5
spot_278,8
spot_279,6
spot_28,8
spot_280,7
spot_281,6
spot_282,4
spot_283,6
spot_284,5
spot_285,3
spot_286,8
spot_287,7
spot_288,4
spot_289,5
spot_29,9
spot_290,9
spot_291,5
spot_292,8
spot_293,5
spot_294,9
spot_295,6
spot_296,2
spot_297,4
spot_298,4
spot_299,3
spot_3,1
spot_30,3
spot_300,5
spot_301,6
spot_302,3
spot_303,4
spot_304,6
spot_305,5
spot_306,4
spot_307,4
spot_308,7
spot_309,4
spot_31,5
spot_310,3
spot_311,3
spot_312,2
spot_313,5
spot_314,7
spot_315,2
spot_316,5
spot_317,6
spot_318,4
spot_319,4
spot_32,7
spot_320,6
spot_321,6
spot_322,3
spot_323,10
spot_324,2
spot_325,4
spot_326,5
spot_327,6
spot_328,7
spot_329,1
spot_33,6
spot_330,2
spot_331,4
spot_332,4
spot_333,5
spot_334,4
spot_335,7
spot_336,8
spot_337,5
spot_338,1
spot_339,7
spot_34,6
spot_340,8
spot_341,5
spot_342,1
spot_343,10
spot_344,3
spot_345,6
spot_346,7
spot_347,6
spot_348,5
spot_349,1
spot_35,2
spot_350,8
spot_351,10
spot_352,6
spot_353,4
spot_354,5
spot_355,3
spot_356,10
spot_357,8
spot_358,6
spot_359,9
spot_36,4
spot_360,5
spot_361,6
spot_362,2
spot_363,6
spot_364,7
spot_365,4
spot_366,6
spot_367,7
spot_368,7
spot_369,7
spot_37,3
spot_370,4
spot_371,3
spot_372,6
spot_373,3
spot_374,7
spot_375,7
spot_376,5
spot_377,8
spot_378,4
spot_379,7
spot_38,3
spot_380,8
spot_381,9
spot_382,4
spot_383,4
spot_384,4
spot_385,7
spot_386,3
spot_387,3
spot_388,5
spot_389,3
spot_39,7
spot_390,4
spot_391,6
spot_392,7
spot_393,5
spot_394,8
spot_395,6
spot_396,7
spot_397,5
spot_398,5
spot_399,8
spot_4,6
spot_40,8
spot_400,6
spot_401,2
spot_402,5
spot_403,9
spot_404,5
spot_405,6
spot_406,6
