spot,nuclei_count
spot_1,2
spot_10,8
spot_100,5
spot_101,5
spot_102,5
spot_103,3
spot_104,5
spot_105,6
spot_106,3
spot_107,3
spot_108,6
spot_109,1
spot_11,8
spot_110,8
spot_111,7
spot_112,3
spot_113,3
spot_114,7
spot_115,6
spot_116,3
spot_117,6
spot_118,6
spot_119,3
spot_12,7
spot_120,7
spot_121,8
spot_122,3
spot_123,6
spot_124,3
spot_125,7
spot_126,7
spot_127,7
spot_128,5
spot_129,4
spot_13,3
spot_130,4
spot_131,4
spot_132,2
spot_133,3
spot_134,4
spot_135,6
spot_136,6
spot_137,3
spot_138,9
spot_139,3
spot_14,8
spot_140,4
spot_141,3
spot_142,9
spot_143,10
spot_144,5
spot_145,5
spot_146,7
spot_147,3
spot_148,9
spot_149,2
spot_15,8
spot_150,6
spot_151,3
spot_152,4
spot_153,7
spot_154,7
spot_155,5
spot_156,3
spot_157,7
spot_158,5
spot_159,3
spot_16,3
spot_160,3
spot_161,4
spot_162,4
spot_163,4
spot_164,4
spot_165,9
spot_166,5
spot_167,5
spot_168,2
spot_169,10
spot_17,4
spot_170,6
spot_171,5
spot_172,5
spot_173,14
spot_174,3
spot_175,7
spot_176,7
spot_177,6
spot_178,5
spot_179,3
spot_18,10
spot_180,6
spot_181,5
spot_182,8
spot_183,4
spot_184,6
spot_185,5
spot_186,6
spot_187,7
spot_188,9
spot_189,8
spot_19,3
spot_190,5
spot_191,3
spot_192,3
spot_193,9
spot_194,5
spot_195,4
spot_196,6
spot_197,6
spot_198,1
spot_199,4
spot_2,3
spot_20,9
spot_200,5
spot_201,7
spot_202,6
spot_203,3
spot_204,1
spot_205,13
spot_206,4
spot_207,4
spot_208,4
spot_209,3
spot_21,2
spot_210,7
spot_211,4
spot_212,6
spot_213,6
spot_214,5
spot_215,7
spot_216,3
spot_217,5
spot_218,1
spot_219,5
spot_22,6
spot_220,8
spot_221,4
spot_222,3
spot_223,5
spot_224,2
spot_225,6
spot_226,5
spot_227,4
spot_228,6
spot_229,5
spot_23,4
spot_230,6
spot_231,9
spot_232,1
spot_233,6
spot_234,4
spot_235,9
spot_236,3
spot_237,5
spot_238,8
spot_239,8
spot_24,5
spot_240,5
spot_241,6
spot_242,1
spot_243,6
spot_244,4
spot_245,9
spot_246,8
spot_247,7
spot_248,6
spot_249,5
spot_25,6
spot_250,6
spot_251,9
spot_252,7
spot_253,4
spot_254,6
spot_255,2
spot_256,1
spot_257,7
spot_258,4
spot_259,3
spot_26,7
spot_260,5
spot_261,3
spot_262,7
spot_263,5
spot_264,3
spot_265,4
spot_266,6
spot_267,6
spot_268,7
spot_269,5
spot_27,7
spot_270,5
spot_271,6
spot_272,3
spot_273,3
spot_274,4
spot_275,5
spot_276,4
spot_277,8
spot_278,5
spot_279,6
spot_28,4
spot_280,6
spot_281,8
spot_282,3
spot_283,4
spot_284,4
spot_285,6
spot_286,5
spot_287,8
spot_288,5
spot_289,5
spot_29,4
spot_290,2
spot_291,4
spot_292,5
spot_293,5
spot_294,8
spot_295,2
spot_296,4
spot_297,8
spot_298,8
spot_299,9
spot_3,8
spot_30,6
spot_300,6
spot_301,4
spot_302,6
spot_303,8
spot_304,7
spot_305,9
spot_306,4
spot_307,1
spot_308,7
spot_309,7
spot_31,7
spot_310,8
spot_311,2
spot_312,4
spot_313,5
spot_314,9
spot_315,4
spot_316,5
spot_317,6
spot_318,7
spot_319,4
spot_32,6
spot_320,6
spot_321,6
spot_322,8
spot_323,3
spot_324,2
spot_325,6
spot_326,3
spot_327,5
spot_328,5
spot_329,3
spot_33,7
spot_330,9
spot_331,5
spot_332,3
spot_333,8
spot_334,3
spot_335,6
spot_336,7
spot_337,3
spot_338,6
spot_339,6
spot_34,8
spot_340,3
spot_341,4
spot_342,11
spot_343,6
spot_344,4
spot_345,3
spot_346,2
spot_347,8
spot_348,1
spot_349,4
spot_35,7
spot_350,3
spot_351,8
spot_352,4
spot_353,6
spot_354,3
spot_355,7
spot_356,6
spot_357,5
spot_358,5
spot_359,9
spot_36,4
spot_360,5
spot_361,2
spot_362,4
spot_363,3
spot_364,6
spot_365,3
spot_366,2
spot_367,3
spot_368,2
spot_369,10
spot_37,3
spot_370,12
spot_371,6
spot_372,2
spot_373,5
spot_374,4
spot_375,7
spot_376,4
spot_377,5
spot_378,8
spot_379,6
spot_38,4
spot_380,4
spot_381,4
spot_382,6
spot_383,2
spot_384,3
spot_385,10
spot_386,4
spot_387,3
spot_388,7
spot_389,7
spot_39,7
spot_390,2
spot_391,7
spot_392,3
spot_393,8
spot_394,6
spot_395,7
spot_396,3
spot_397,8
spot_398,5
spot_399,2
spot_4,7
spot_40,5
spot_400,6
spot_401,2
spot_402,7
spot_403,6
spot_404,6
spot_405,2
spot_406,6
spot_407,6
spot_408,4
spot_409,3
spot_41,6
spot_410,5
spot_411,2
spot_412,5
spot_413,6
spot_414,7
spot_415,8
spot_416,5
spot_417,5
spot_418,7
spot_419,4
spot_42,5
spot_420,2
spot_421,6
spot_422,7
spot_423,6
spot_424,7
spot_425,11
spot_426,5
spot_427,5
spot_428,5
spot_429,6
spot_43,8
spot_430,7
spot_431,8
spot_432,2
spot_433,4
spot_434,5
spot_435,7
spot_436,6
spot_437,3
spot_438,7
spot_439,3
spot_44,6
spot_440,6
spot_441,6
spot_442,4
spot_443,8
spot_444,6
spot_445,2
spot_446,5
spot_447,3
spot_448,2
spot_449,1
spot_45,3
spot_450,4
spot_451,5
spot_452,4
spot_453,6
spot_454,4
spot_455,6
spot_456,4
spot_457,8
spot_458,2
spot_459,10
spot_46,8
spot_460,7
spot_461,4
spot_462,5
spot_463,4
spot_464,2
spot_465,8
spot_466,6
spot_467,4
spot_468,5
spot_469,6
spot_47,6
spot_470,5
spot_471,3
spot_472,6
spot_473,8
spot_474,6
spot_475,4
spot_476,6
spot_477,8
spot_478,11
spot_479,8
spot_48,5
spot_480,5
spot_481,9
spot_482,7
spot_483,9
spot_484,8
spot_485,4
spot_486,7
spot_487,4
spot_488,3
spot_489,4
spot_49,11
spot_490,5
spot_491,6
spot_492,5
spot_493,5
spot_494,5
spot_495,6
spot_496,2
spot_497,5
spot_498,8
spot_499,5
spot_5,10
spot_50,4
spot_500,7
spot_501,7
spot_502,3
spot_503,5
spot_504,2
spot_505,3
spot_506,7
spot_507,4
spot_508,5
spot_509,4
spot_51,8
