cell_type,gene,score,pval_adj
Fibroblasts,VIM,144.17965698242188,0.0
Fibroblasts,LGALS1,103.20563507080078,0.0
Fibroblasts,NDUFA4L2,100.476318359375,0.0
Fibroblasts,CALD1,91.35624694824219,0.0
Fibroblasts,IGFBP7,90.49293518066406,0.0
Fibroblasts,IFITM3,90.45633697509766,0.0
Fibroblasts,TIMP1,84.88567352294922,0.0
Fibroblasts,JUNB,84.34850311279297,0.0
Fibroblasts,PTMA,84.09225463867188,0.0
Fibroblasts,BGN,83.38228607177734,0.0
Fibroblasts,FOS,83.06808471679688,0.0
Fibroblasts,FOSB,83.0308837890625,0.0
Fibroblasts,CAV1,79.85114288330078,0.0
Fibroblasts,SPARC,78.96326446533203,0.0
Fibroblasts,TMSB10,77.89756774902344,0.0
Fibroblasts,ZFP36,76.36968994140625,0.0
Fibroblasts,ID3,75.7682113647461,0.0
Fibroblasts,MGP,75.58184814453125,0.0
Fibroblasts,MALAT1,75.53102111816406,0.0
Fibroblasts,H3F3B,74.96456909179688,0.0
Fibroblasts,MYL9,74.3642349243164,0.0
Fibroblasts,EGR1,74.10272216796875,0.0
Fibroblasts,RPS2,72.81584167480469,0.0
Fibroblasts,CRIP2,71.97595977783203,0.0
Fibroblasts,RPS8,71.37638854980469,0.0
Fibroblasts,JUN,70.81238555908203,0.0
Fibroblasts,RPS19,69.84027099609375,0.0
Fibroblasts,LMNA,69.72947692871094,0.0
Fibroblasts,TPM1,69.4381103515625,0.0
Fibroblasts,IGFBP4,69.36099243164062,0.0
Fibroblasts,RGS5,69.29003143310547,0.0
Fibroblasts,ACTG1,69.2322769165039,0.0
Fibroblasts,RPL10,69.20773315429688,0.0
Fibroblasts,PGF,69.17984771728516,0.0
Fibroblasts,EEF1A1,68.55671691894531,0.0
Fibroblasts,RPS3,68.51431274414062,0.0
Fibroblasts,RPS18,66.61479187011719,0.0
Fibroblasts,RPL23A,66.57788848876953,0.0
Fibroblasts,TSC22D1,66.2049331665039,0.0
Fibroblasts,CDKN1A,65.54351806640625,0.0
Fibroblasts,NEAT1,64.95330810546875,0.0
Fibroblasts,RPL18,64.43804168701172,0.0
Fibroblasts,RPL3,64.32762145996094,0.0
Fibroblasts,C11orf96,64.27056121826172,0.0
Fibroblasts,TAGLN2,64.06283569335938,0.0
Fibroblasts,GNB2L1,64.0376968383789,0.0
Fibroblasts,EIF1,63.841068267822266,0.0
Fibroblasts,RPL10A,63.08238220214844,0.0
Fibroblasts,MYL6,63.012901306152344,0.0
Fibroblasts,IER2,62.81691360473633,0.0
Macrophages,TYROBP,113.5667953491211,0.0
Macrophages,AIF1,107.1383285522461,0.0
Macrophages,CD68,103.36072540283203,0.0
Macrophages,HLA-DRA,102.75984954833984,0.0
Macrophages,C1QA,102.15480041503906,0.0
Macrophages,HLA-DPA1,101.90933227539062,0.0
Macrophages,FCER1G,101.74250793457031,0.0
Macrophages,C1QB,99.42534637451172,0.0
Macrophages,CST3,99.37279510498047,0.0
Macrophages,HLA-DPB1,98.55677032470703,0.0
Macrophages,MS4A7,98.54949951171875,0.0
Macrophages,HLA-DRB1,98.02874755859375,0.0
Macrophages,C1QC,97.63844299316406,0.0
Macrophages,CD74,96.67369079589844,0.0
Macrophages,GPX1,95.93311309814453,0.0
Macrophages,MS4A6A,94.54537200927734,0.0
Macrophages,NPC2,94.47647857666016,0.0
Macrophages,HLA-DQA1,92.10697937011719,0.0
Macrophages,LST1,91.74034118652344,0.0
Macrophages,SAT1,89.84657287597656,0.0
Macrophages,FTL,89.3023681640625,0.0
Macrophages,LAPTM5,89.13688659667969,0.0
Macrophages,HLA-DQB1,88.58499145507812,0.0
Macrophages,RGS1,85.84984588623047,0.0
Macrophages,HLA-DMA,85.55093383789062,0.0
Macrophages,C1orf162,83.9412841796875,0.0
Macrophages,CTSS,83.10565948486328,0.0
Macrophages,PSAP,81.48391723632812,0.0
Macrophages,FCGR3A,80.08393859863281,0.0
Macrophages,SRGN,79.22183227539062,0.0
Macrophages,RNASET2,78.52489471435547,0.0
Macrophages,RGS10,78.39507293701172,0.0
Macrophages,CTSB,77.37522888183594,0.0
Macrophages,CYBA,76.4386215209961,0.0
Macrophages,HLA-DMB,76.35501861572266,0.0
Macrophages,APOC1,76.02201080322266,0.0
Macrophages,MAFB,73.62432098388672,0.0
Macrophages,CCL3L3,73.37554168701172,0.0
Macrophages,HLA-DRB5,72.97950744628906,0.0
Macrophages,CCL3,72.88805389404297,0.0
Macrophages,APOE,72.8259048461914,0.0
Macrophages,LYZ,72.56166076660156,0.0
Macrophages,FCGR2A,72.43175506591797,0.0
Macrophages,GPR34,72.29896545410156,0.0
Macrophages,IER3,71.41620635986328,0.0
Macrophages,FTH1,70.18281555175781,0.0
Macrophages,PLAUR,69.9344711303711,0.0
Macrophages,CD14,69.87187957763672,0.0
Macrophages,SPI1,69.56102752685547,0.0
Macrophages,FAM26F,69.21356201171875,0.0
