marker,interest_score,kurtosis,gmm_snr,gmm_signal_fraction,morans_i,morans_i_pvalue,passed_kurtosis,passed_gmm,passed_morans,passed_either
Beta-catenin,107493291.894233,11849.894085497881,16981.36820229184,0.0948440888423676,0.5341881079925804,0.005,True,True,True,True
Ki-67,84945159.68352693,2961.247215862109,44926.39204414596,0.05402901532509595,0.6385022456979911,0.005,True,True,True,True
CD138,32773147.295950804,1634.5916414924927,34885.915045146794,0.04547982216289175,0.5747232376465622,0.005,True,True,True,True
LAG-3,30962406.97193304,537.4055814262514,101935.74634117361,0.18604262099212934,0.5652050519824879,0.005,True,True,True,True
PanCK,20147531.18976868,310.15093944274383,97067.74798109476,0.0744712252604118,0.6692275048334418,0.005,True,True,True,True
CD4,14407004.409039225,400.86746204324174,46840.80088679546,0.27837646036262315,0.7672706232400148,0.005,True,True,True,True
GranzymeB,8228060.57651883,577.9565872413409,29531.899409870242,0.025407346052305296,0.4820708619050515,0.005,True,True,True,True
CD16,6288573.234841126,121.81142439612373,66532.90067060193,0.2935257523043746,0.7759391116713055,0.005,True,True,True,True
CD3E,4615236.046552277,22.417782534750653,265326.91976331116,0.6773587061945611,0.7759253678278012,0.005,True,True,True,True
CD68,4609075.107445982,26.599663546518823,234239.73425957342,0.43749387182217075,0.7397365460956492,0.005,True,True,True,True
CD11c,3928858.5782643436,204.8476042952266,28184.27217319748,0.1675520040337536,0.6805008672720522,0.005,True,True,True,True
CD31,3205973.8312604907,72.59133662077501,62090.94685378914,0.3026442414072396,0.7112903182594036,0.005,True,True,True,True
PD-L1,2795402.026169423,340.74019691896297,14460.299280351752,0.06599500336866153,0.5673402870224175,0.005,True,True,True,True
alphaSMA,1892510.574584164,135.0596495911161,20323.53251432746,0.303857513879544,0.689467024200722,0.005,True,True,True,True
CD20,1800757.590728962,9.977860214276658,190095.56934487997,0.25258273385065744,0.9493926039568499,0.005,True,True,True,True
CD163,1449697.1467780038,29.638277078145386,72604.91843531947,0.3201914617359861,0.6736871885536873,0.005,True,True,True,True
VISTA,1070485.1951439432,43.91099953452896,42695.133832264626,0.5536159631011655,0.5709906059123803,0.005,True,True,True,True
PD-1,1046153.3306228948,44.6382856922011,37715.90279076064,0.12658107282483771,0.621388665093798,0.005,True,True,True,True
CD45RA,835859.5062896912,4.416985834593191,201983.6764087701,0.45117922998992616,0.9368951847603133,0.005,True,True,True,True
CD8A,818073.4332835237,8.498890340104678,141194.7545061822,0.41385889214994237,0.6817285796421791,0.005,True,True,True,True
CD45RO,282399.42751229455,10.458023968878843,37439.48143116495,0.4139847423857966,0.7212475557042033,0.005,True,True,True,True
PCNA,162.4825182119952,26.986159900632195,8.244652897572065,0.23852001767390582,0.7302863370956921,0.005,True,True,True,True
HLA-DR,147.20694864705052,33.9335530653524,5.919858292085792,0.28216974349482027,0.732803718231594,0.005,True,True,True,True
E-Cadherin,74.65576267749383,27.963190747855407,3.5186255822268833,0.21285649605049034,0.7587584757661608,0.005,True,True,True,True
PTEN,55.96379774499608,21.59332645754235,3.4751106003565426,0.1875382578501776,0.7457941913429394,0.005,True,True,True,True
Vimentin,23.71790780950986,10.504547824676434,3.106700903689424,0.21673539173457307,0.7267743146387314,0.005,True,True,True,True
CD45,0.04881671564868779,-0.11820319755576802,6.011108028985872,0.7271405516420496,0.8121084401293585,0.005,False,True,True,True
