marker_a,marker_b,colocalization_score,jaccard_index,co_occurrence_spots,co_occurrence_fraction,pearson_r,spearman_rho,correlation_pvalue,neighbor_enrichment_ab,neighbor_enrichment_ba,neighbor_enrichment_pvalue,mutual_neighbor_enrichment
CD45RO,CD45,0.8577579394451559,0.6600594324527316,20213,0.19606568826205464,0.750994852480602,0.7603909440671337,0.0,1.449558940401134,1.4449735802693704,0.005,1.4472662603352522
CD8A,CD45,0.84214142598002,0.5574227147485391,18410,0.17857662498908752,0.7061995464285231,0.7059106456753851,0.0,1.3947971754123694,1.3899758492998244,0.005,1.3923865123560968
CD68,HLA-DR,0.8365189874273513,0.596747107849235,19189,0.18613290912089084,0.7013292971624742,0.8097031429715205,0.0,1.2722423516713235,1.2723674882118725,0.005,1.2723049199415981
CD3E,CD8A,0.8330500930683132,0.6678006739243131,20611,0.19992628015481168,0.6906467552485749,0.781135797196944,0.0,1.398742442349373,1.3963145924275573,0.005,1.3975285173884653
CD3E,CD45RO,0.8319334880228384,0.6819519291169372,20627,0.20008147982889235,0.6645628238906517,0.746526321713686,0.0,1.4399053012764693,1.4370901644586223,0.005,1.4384977328675457
PD-1,CD8A,0.8301666838374859,0.6981689734717417,19370,0.1878886054339286,0.7310967537808388,0.7190278728449216,0.0,1.4151062734684958,1.412557185354803,0.005,1.4138317294116494
CD3E,CD45,0.8280377677674118,0.6164133547311117,19589,0.19001290097290796,0.6573275999211653,0.6856492695567933,0.0,1.4154823034494572,1.408522623052694,0.005,1.4120024632510755
CD8A,CD45RO,0.8262197416194941,0.6231639318145611,19558,0.18971220160437663,0.6529855600675843,0.7249363973802805,0.0,1.4144052028015794,1.4142039031944362,0.005,1.4143045529980078
CD163,CD16,0.8118080923810254,0.49546082204659636,16864,0.1635804564810414,0.6337884790067057,0.7116648632658542,0.0,1.2885994380395813,1.2903926817137004,0.005,1.2894960598766407
PTEN,Vimentin,0.8060822795415743,0.34842674791196093,13266,0.12867992977214748,0.47112193198521213,0.5995382555548688,0.0,1.3665433726548444,1.3819799443851215,0.005,1.374261658519983
E-Cadherin,Vimentin,0.7979824843232473,0.3584739427595045,13427,0.13024162649258436,0.4944197416313389,0.5201556405913618,0.0,1.390157484692911,1.4069896641010136,0.005,1.3985735743969623
PD-1,CD45RO,0.7919872250273703,0.6076662519010093,17581,0.17053534187578206,0.5932370427604553,0.7197718374684864,0.0,1.401659306514372,1.399753018128686,0.005,1.4007061623215291
alphaSMA,Vimentin,0.780536314932034,0.34388307659954787,13082,0.1268951335202196,0.477340489788534,0.510816995810921,0.0,1.4448178096909168,1.482517398565965,0.005,1.4636676041284409
PD-1,CD45,0.7720311575792449,0.5021570319240725,15714,0.1524254799064922,0.5772145415697307,0.5787404716147526,0.0,1.3784695465957117,1.3725094246700347,0.005,1.3754894856328732
CD16,CD68,0.7708996656653573,0.5076438186691803,17234,0.16716944894415722,0.4794028930270196,0.7477917234079159,0.0,1.28591131396295,1.2964789242420574,0.005,1.2911951191025037
LAG-3,PD-1,0.760779525086932,0.6073767666321958,17620,0.17091364108135373,0.49406588110068067,0.7371343000628948,0.0,1.3419687210025293,1.3413574559629282,0.005,1.3416630884827287
HLA-DR,CD45,0.7603401543845649,0.22076502732240438,9292,0.09013221072235748,0.3407894271536156,0.6325671867199827,0.0,1.2302139967381072,1.2208006344025175,0.005,1.2255073155703124
alphaSMA,E-Cadherin,0.7589306649316978,0.3318486110379,12591,0.1221324435218686,0.3646136563355876,0.5786760019523641,0.0,1.4665662574289318,1.489131962243689,0.005,1.4778491098363102
CD16,HLA-DR,0.7525468000297373,0.46747187956152153,16333,0.15842976729748867,0.4388272713240423,0.7014540542383444,0.0,1.2714738706535955,1.282621921303917,0.005,1.2770478959787561
E-Cadherin,CD45,0.7517961518017889,0.309224426694151,12001,0.11640945554014337,0.4050768842162466,0.43062469475836707,0.0,1.2877864018982703,1.2963059728845727,0.005,1.2920461873914215
Beta-catenin,CD31,0.7505519557173004,0.3470519639352655,12202,0.11835915144578196,0.6200843234090578,0.3845455100650143,0.0,1.2894794811541095,1.2699998981953355,0.005,1.2797396896747224
LAG-3,CD8A,0.7450478558171202,0.6164366215018361,19472,0.18887800335619295,0.4538396192114259,0.6677180923807061,0.0,1.321396999145763,1.3179801931273176,0.005,1.3196885961365403
CD3E,PD-1,0.7431633578591545,0.5767864324976538,17209,0.16692694945340614,0.48801552460204217,0.6307837339516744,0.0,1.348378982992017,1.3488926750409176,0.005,1.3486358290164673
alphaSMA,PTEN,0.7328505225244163,0.3267934740183706,12559,0.12182204417370723,0.34758440368756005,0.4424278899217962,0.0,1.4022910220312548,1.42510952348312,0.005,1.4137002727571875
CD163,CD68,0.7309552515764455,0.5350840209600675,17768,0.17234923806660005,0.41747242673565876,0.7599867904072494,0.0,1.231940861837242,1.2430611614584055,0.005,1.2375010116478238
Beta-catenin,PTEN,0.7309475333892248,0.3882513581825049,13364,0.12963052777589168,0.4322916040788145,0.4675421646855823,0.0,1.3721632895767095,1.3675525421005772,0.005,1.3698579158386432
E-Cadherin,PTEN,0.7293361895756059,0.24205193470226877,9890,0.09593279854112306,0.24853952747618374,0.3684429399951927,0.0,1.2829198053612576,1.2901576264754053,0.005,1.2865387159183315
CD163,HLA-DR,0.7192071050721577,0.49837143108659293,16984,0.16474445403664653,0.38461622559345726,0.700663335857902,0.0,1.2512855951097888,1.2613235475041575,0.005,1.2563045713069732
LAG-3,CD45RO,0.7179474618426567,0.5280419114529707,17437,0.1691385448090559,0.37447395290621016,0.6459294146841484,0.0,1.3039917398402079,1.2989169177207316,0.005,1.3014543287804696
LAG-3,CD45,0.7099284066756684,0.4922973289597001,16809,0.16304695760138904,0.37116216354721643,0.5678174741551892,0.0,1.294173387450908,1.2866864952323043,0.005,1.290429941341606
CD68,CD45,0.7052167031200975,0.18816307621033124,8123,0.07879293453483747,0.22791729418360396,0.4987190210215997,0.0,1.1902653381348467,1.1811850064796876,0.005,1.1857251723072673
CD16,CD45,0.7015639920498342,0.2276496812233354,9498,0.09213040652614629,0.2827926230716004,0.5020294382091955,0.0,1.2210995112604346,1.2217492106433996,0.005,1.221424360951917
GranzymeB,CD163,0.6999456840751883,0.005707718827810764,149,0.0014452969648763737,0.6154588235786835,-0.016326448208721565,1.5850309312169266e-07,1.052693062812438,1.038955791638148,0.075,1.045824427225293
CD4,CD45RO,0.696431646645322,0.23941490931750353,7300,0.07080985129931228,0.38928772736524925,0.35223126495909957,0.0,1.5580772910020235,1.5616688762756041,0.005,1.5598730836388137
