method,region,pearson_r,jsd,rmse,mae,gex_rmse
CITEgeist,0,0.10519166896109904,0.6547668657092902,0.20042447123921947,0.12651401559592165,
CITEgeist,1,-0.17548654715524192,0.7477000817529358,0.18466833068538163,0.11951417800436227,
CITEgeist,2,0.5444060561200147,0.49898553118049316,0.14428850179234942,0.08232917509573157,
CITEgeist,3,0.17569215550227857,0.6227977015345918,0.2039947484900178,0.12740556554594817,
CITEgeist,4,0.08526690656617203,0.6426227283227351,0.20814373138661246,0.13293056011964668,
Cell2Location,0,0.22084248625734493,0.5052247754139023,0.1862257658196407,0.11272300494967147,0.5112501103777839
Cell2Location,1,0.19891880659775746,0.5136986884065696,0.18393789859682094,0.11441724741011289,0.5416290529583434
Cell2Location,2,0.36891170617642777,0.4998148571947099,0.1721820408416105,0.10478686797698326,0.5608854378141644
Cell2Location,3,0.3338706728359727,0.5034256903217156,0.18256875942307926,0.10778511765247505,0.6213218200158832
Cell2Location,4,0.21282211841455528,0.5165187574769209,0.19841912770179365,0.11540084684746743,0.6223565924854377
Tangram,0,0.1568381261361963,0.5145773832656559,0.16643304614624843,0.11288207539781546,0.38622244285131857
Tangram,1,0.1862349768033232,0.5059025584335635,0.16060192639224896,0.10955109442015604,0.40626822433521137
Tangram,2,0.04482162780454239,0.5510428073801569,0.1814934114843649,0.12452347456832287,0.41215313183301766
Tangram,3,0.005748443407407144,0.5727880066502805,0.19331432249795952,0.13093752722093763,0.4527354066644002
Tangram,4,0.021099593819791002,0.5580363521390272,0.18537123980129783,0.12649991670162775,0.44683242808366497
RCTD,0,0.15700575381428555,0.5837164435283465,0.21056222617246467,0.12765990563531243,
RCTD,1,0.09256639980598223,0.6048830370344183,0.21674414390034205,0.13266764183398794,
RCTD,2,0.1516819012530503,0.5915408443622298,0.21244617205426375,0.13379250564900708,
RCTD,3,0.12333587933817419,0.6024404418152305,0.21412367802164575,0.1364726135755069,
RCTD,4,0.159970088923004,0.5818513351638084,0.20326883054773331,0.130540575228621,
Seurat,0,0.1127695897855244,0.6214067916591577,0.23326660730373966,0.14255443326061623,
Seurat,1,0.17089242207158212,0.6111116602838671,0.22971925336868143,0.13914492838368855,
Seurat,2,0.08709370623078642,0.6162417479084011,0.23987048492414756,0.14256983704154375,
Seurat,3,0.02643643533529581,0.6558389194384495,0.26717075476224034,0.15562969043115973,
Seurat,4,0.06510246435727125,0.6347968951397917,0.2578597384791721,0.15013035643774325,
