,CD4+ T cells,CD8+ T cells,Macrophages,B cells,Endothelial,Epithelial,Fibroblasts,assigned_type,confidence,doublet_flag
aaaaaglh-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3204277925546677,True
aaadlhcl-1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Endothelial,0.1970009316569592,True
aaaeklfg-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3216629223000815,True
aaaenoak-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.3324855542999015,False
aaaffeli-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2900253597980535,True
aaahgddh-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2929531367924473,True
aaaicbad-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.1700257866537592,False
aaainfcj-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.3656295468788053,False
aaajalli-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4310760876817655,True
aaakaicm-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2970737224647785,True
aaalenei-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3971993131952879,True
aaalibnp-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4393415060313961,True
aaanimgh-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aaanmojg-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.414219296060188,True
aaaoobdd-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2639738733565602,False
aaapalia-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2454131587201428,False
aabaadec-1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Endothelial,0.2101130345726173,True
aabcnbfn-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2501734665123448,False
aabfoclf-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.3104267948785752,False
aabgdiad-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2623167860459287,False
aabgkkdo-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2623917805499067,True
aabjlmbg-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.288721680052687,False
aabmhdnc-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aaboacmc-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aabpkoac-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2679495163630524,True
aabpmhim-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2535792986941045,True
aacafmbe-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2899309859526709,True
aaccbohg-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.381465256848875,False
aaceclnh-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aacefhmk-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2718129399133702,True
aaciafec-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2614672684925067,True
aacialam-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2253838144308685,False
aacjhkdi-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Epithelial,0.1488545001021997,True
aacjnbjc-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aacjneie-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.4495201399142695,True
aaclmpag-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2565104765310827,False
aaclpnkb-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3051647800985704,True
aacmjhmg-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aacoaifi-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2588772849768238,False
aacpckob-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
aacppmhm-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.3596909587322462,True
aadadpgm-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3917844829687728,True
aadbjopa-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.1617429502790911,True
aadblgdf-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4013877526206139,True
aadcblpi-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2852221633296037,True
aadcdlpa-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2666618527086578,True
