method,region,pearson_r,jsd,rmse,mae,gex_rmse
CITEgeist,0,0.5496390821802905,0.362645362657017,0.16928168718630993,0.11926961967626533,0.8055455301844923
CITEgeist,1,0.5192181088261295,0.36978527184734367,0.1749852988567864,0.12165899710148588,0.8025695113460309
CITEgeist,2,0.6506654072802047,0.34276075509900084,0.16090779227258473,0.1098473424162807,0.8254742496105066
CITEgeist,3,0.6299917570672902,0.3560889943657945,0.17061370285891525,0.11245546507520879,0.8742658241295546
CITEgeist,4,0.6492318328520046,0.3456868044410186,0.16058791250366397,0.10944638731714446,0.874396736914865
Cell2Location,0,0.6786072763583204,0.29009752949810214,0.15079355355684929,0.10287176536098458,0.4174375507226568
Cell2Location,1,0.5534510067585965,0.3159190682767666,0.1751071429060505,0.11788620947519829,0.46375907161120306
Cell2Location,2,0.573125309130938,0.36842066642234483,0.2014765422035876,0.1374345460799991,0.4612802464995267
Cell2Location,3,0.6318815151693636,0.35554874306616296,0.19187264203853563,0.13027144096265397,0.5106207351726312
Cell2Location,4,0.6201865326278642,0.3456253326961312,0.17539523062815027,0.122770648096063,0.5335802902381569
Tangram,0,0.24527760011384353,0.3737469157002209,8.27777330672013,6.330775180894518,0.47659072494488025
Tangram,1,0.24350507827750908,0.37376373288688997,8.114003011128816,6.285291319614178,0.5006857588676288
Tangram,2,0.09169375958513751,0.4241658943039807,9.190260060010122,6.595352661762384,0.5304901086801757
Tangram,3,0.08282641307712092,0.44088453786158593,7.908276680212025,6.078167627111927,0.5875097839879194
Tangram,4,0.052458979715192554,0.4374081058543393,8.166443456911134,6.2993131695440185,0.5796675112229657
RCTD,0,0.6073796859627807,0.3273359405624013,0.1783220193264762,0.11472076766962758,
RCTD,1,0.5747546621324764,0.34248667515736825,0.1832445120828675,0.12095763651702916,
RCTD,2,0.6504313762861729,0.3444540227032924,0.1707863938834088,0.11480180285471246,
RCTD,3,0.641134341603742,0.3579956068528076,0.17465958709257673,0.11792345737203762,
RCTD,4,0.6185779261974292,0.3633410872312081,0.1769923982017969,0.12065099215544292,
Seurat,0,0.19465861355469033,0.42801326043404403,0.310604114073794,0.23032422556657905,
Seurat,1,0.2265754805406589,0.40699361035282267,0.3056155952656222,0.22677509047804298,
Seurat,2,0.2173463191125018,0.4302227612621445,0.302841175306728,0.21223909029639582,
Seurat,3,0.1855517151447556,0.4744455943286744,0.31431415019310166,0.22999795500518483,
Seurat,4,0.04055004376372417,0.5137254022760108,0.33344036219909484,0.24579368294725037,
