method,region,pearson_r,jsd,rmse,mae,gex_rmse
CITEgeist_achievable_7,0,0.3471337334684375,0.41108205848783863,0.16912174650034556,0.11913374470857968,0.7230150569435049
CITEgeist_achievable_7,1,0.22696652568946896,0.43791350421509073,0.18145287562514947,0.12871038007982638,0.686515507394654
CITEgeist_achievable_7,2,0.5152707954966959,0.38642727393248827,0.15962336411732977,0.10976004443430083,0.7709239982692556
CITEgeist_achievable_7,3,0.49629980222451153,0.40278371933340795,0.16897670998570577,0.11549907296505701,0.8359239536579068
CITEgeist_achievable_7,4,0.4766323627801686,0.397165701690291,0.16406936069384212,0.11472269850649743,0.8090866278180382
CITEgeist_autodiscovery_achievable_7,0,0.1956677457817727,0.5813608357021949,0.21733798995116047,0.14406102918351038,
CITEgeist_autodiscovery_achievable_7,1,-0.015729188312600704,0.6199543245058136,0.20462153756571444,0.1423395372244292,
CITEgeist_autodiscovery_achievable_7,2,0.31658129564976667,0.5274465929944112,0.2052086163777694,0.13023998281787014,
CITEgeist_autodiscovery_achievable_7,3,0.16565895917951357,0.5861557464204846,0.2335062096581343,0.14976405064529935,
CITEgeist_autodiscovery_achievable_7,4,0.05636013822195288,0.6141795264332884,0.23920473918727705,0.15772439242373953,
Cell2Location_achievable_7,0,0.30808047377374226,0.4168000723949967,0.2166029788608333,0.13802204495533446,0.4894180865171166
Cell2Location_achievable_7,1,0.28472734201642147,0.420753689388706,0.212077447567553,0.1375161180327676,0.518185626182637
Cell2Location_achievable_7,2,0.49000131734422964,0.419802369988068,0.2034077713293816,0.12998206693626646,0.516260770935746
Cell2Location_achievable_7,3,0.4673632698933977,0.42108883394144814,0.2046722170323063,0.1317060738416457,0.5765716485538899
Cell2Location_achievable_7,4,0.3721788415589057,0.43084159058651234,0.22313420197299325,0.14058933116135017,0.5955700830770212
RCTD_achievable_7,0,0.19213760863618884,0.5214117992405399,0.2513143150059786,0.16714275857431204,
RCTD_achievable_7,1,0.13061886488506053,0.5469212588964402,0.25991132946963524,0.1765179771729328,
RCTD_achievable_7,2,0.17486707375789767,0.5302790927230486,0.25226397706154535,0.17406492160331355,
RCTD_achievable_7,3,0.1393758667594585,0.5381050751703825,0.2503961626318226,0.17480844398908033,
RCTD_achievable_7,4,0.21874018862944897,0.503998002896975,0.23075440059756983,0.16215584297685567,
Tangram_achievable_7,0,0.1931313352180857,0.42371016785905297,0.18184720908926552,0.1308759637783446,0.4688497885370764
Tangram_achievable_7,1,0.23469711383767827,0.4089429477393654,0.17321336633098622,0.12440105660093284,0.4895701168898036
Tangram_achievable_7,2,0.008709175705838563,0.4924186254535302,0.2126069755788052,0.15753283912626972,0.5208708063007428
Tangram_achievable_7,3,-0.10149988313982644,0.529980590662098,0.231442187875561,0.17349861530653116,0.5917464327661277
Tangram_achievable_7,4,-0.08164921916766937,0.513135097096574,0.22159127239982104,0.16642044803818806,0.5733819387759913
Seurat_achievable_7,0,0.1503314283306537,0.6472318725753828,0.3526525279076452,0.2228768670946226,
Seurat_achievable_7,1,0.14506252539187378,0.6553068565110204,0.3587711574983289,0.2264034345084916,
Seurat_achievable_7,2,0.07854289272748133,0.6614029296144855,0.3662123154251131,0.22659716825221607,
Seurat_achievable_7,3,-0.044607665455762974,0.703456145224792,0.39058475751175137,0.2425829872924844,
Seurat_achievable_7,4,-0.02872741256982747,0.6963355375372052,0.38350203307704844,0.23869911799437468,
