,B cells,CD8+ T cells,Endothelial,Epithelial,Macrophages,Mixed Immune,Myofibroblasts,Proliferating T,Stromal,Vascular Stromal,n_cells,spot_x,spot_y
spot_11,0.0,0.25,0.125,0.0,0.125,0.0,0.0,0.0,0.5,0.0,8,,
spot_12,0.0,0.22727272727272727,0.2727272727272727,0.0,0.09090909090909091,0.09090909090909091,0.0,0.045454545454545456,0.22727272727272727,0.045454545454545456,22,,
spot_13,0.0,0.10344827586206896,0.034482758620689655,0.0,0.3448275862068966,0.034482758620689655,0.034482758620689655,0.0,0.2413793103448276,0.20689655172413793,29,,
spot_14,0.0,0.1724137931034483,0.06896551724137931,0.0,0.06896551724137931,0.034482758620689655,0.10344827586206896,0.06896551724137931,0.10344827586206896,0.3793103448275862,29,,
spot_15,0.12121212121212122,0.15151515151515152,0.21212121212121213,0.0,0.21212121212121213,0.09090909090909091,0.030303030303030304,0.0,0.030303030303030304,0.15151515151515152,33,,
spot_16,0.1702127659574468,0.44680851063829785,0.0,0.0,0.1702127659574468,0.0851063829787234,0.02127659574468085,0.10638297872340426,0.0,0.0,47,,
spot_17,0.03508771929824561,0.5964912280701754,0.0,0.0,0.14035087719298245,0.17543859649122806,0.0,0.0,0.05263157894736842,0.0,57,,
spot_18,0.03571428571428571,0.7142857142857143,0.017857142857142856,0.0,0.03571428571428571,0.125,0.0,0.0,0.07142857142857142,0.0,56,,
spot_19,0.17073170731707318,0.2682926829268293,0.12195121951219512,0.0,0.0975609756097561,0.1951219512195122,0.04878048780487805,0.0,0.024390243902439025,0.07317073170731707,41,,
spot_20,0.4722222222222222,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1388888888888889,0.027777777777777776,0.0,0.1111111111111111,0.027777777777777776,36,,
spot_21,0.15151515151515152,0.15151515151515152,0.12121212121212122,0.0,0.12121212121212122,0.0,0.09090909090909091,0.0,0.30303030303030304,0.06060606060606061,33,,
spot_22,0.037037037037037035,0.25925925925925924,0.037037037037037035,0.0,0.2222222222222222,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.1111111111111111,0.037037037037037035,27,,
spot_120,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,3,,
spot_121,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,6,,
spot_122,0.0,0.0,0.35714285714285715,0.0,0.14285714285714285,0.21428571428571427,0.0,0.0,0.2857142857142857,0.0,14,,
spot_123,0.0,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.0,7,,
spot_124,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,7,,
spot_125,0.43478260869565216,0.06521739130434782,0.021739130434782608,0.0,0.06521739130434782,0.15217391304347827,0.021739130434782608,0.0,0.1956521739130435,0.043478260869565216,46,,
spot_126,0.76,0.08,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,50,,
spot_127,0.24324324324324326,0.13513513513513514,0.13513513513513514,0.0,0.13513513513513514,0.08108108108108109,0.05405405405405406,0.0,0.05405405405405406,0.16216216216216217,37,,
spot_128,0.6666666666666666,0.19607843137254902,0.0,0.0,0.0392156862745098,0.0784313725490196,0.0,0.0196078431372549,0.0,0.0,51,,
spot_129,0.2777777777777778,0.42592592592592593,0.0,0.0,0.07407407407407407,0.16666666666666666,0.0,0.037037037037037035,0.018518518518518517,0.0,54,,
spot_130,0.09615384615384616,0.2692307692307692,0.057692307692307696,0.0,0.19230769230769232,0.09615384615384616,0.07692307692307693,0.07692307692307693,0.09615384615384616,0.038461538461538464,52,,
spot_131,0.0,0.3888888888888889,0.25,0.0,0.19444444444444445,0.08333333333333333,0.027777777777777776,0.0,0.05555555555555555,0.0,36,,
spot_132,0.0,0.0,0.15,0.0,0.2,0.05,0.1,0.05,0.3,0.15,20,,
spot_133,0.6511627906976745,0.09302325581395349,0.046511627906976744,0.0,0.046511627906976744,0.11627906976744186,0.046511627906976744,0.0,0.0,0.0,43,,
spot_134,0.9107142857142857,0.03571428571428571,0.0,0.0,0.0,0.05357142857142857,0.0,0.0,0.0,0.0,56,,
spot_135,0.75,0.1346153846153846,0.0,0.0,0.057692307692307696,0.038461538461538464,0.019230769230769232,0.0,0.0,0.0,52,,
spot_136,0.09302325581395349,0.4883720930232558,0.09302325581395349,0.0,0.06976744186046512,0.13953488372093023,0.023255813953488372,0.023255813953488372,0.06976744186046512,0.0,43,,
spot_137,0.11428571428571428,0.22857142857142856,0.22857142857142856,0.0,0.08571428571428572,0.11428571428571428,0.08571428571428572,0.0,0.14285714285714285,0.0,35,,
spot_234,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,4,,
spot_236,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,4,,
spot_237,0.0,0.16666666666666666,0.125,0.0,0.25,0.16666666666666666,0.0,0.125,0.16666666666666666,0.0,24,,
spot_238,0.057692307692307696,0.5576923076923077,0.07692307692307693,0.0,0.09615384615384616,0.11538461538461539,0.0,0.038461538461538464,0.057692307692307696,0.0,52,,
spot_239,0.6785714285714286,0.17857142857142858,0.0,0.0,0.07142857142857142,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,56,,
spot_240,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,,
spot_241,0.2857142857142857,0.03571428571428571,0.10714285714285714,0.0,0.03571428571428571,0.0,0.0,0.0,0.14285714285714285,0.39285714285714285,28,,
spot_242,0.1724137931034483,0.10344827586206896,0.0,0.0,0.20689655172413793,0.10344827586206896,0.034482758620689655,0.0,0.034482758620689655,0.3448275862068966,29,,
spot_243,0.275,0.15,0.0,0.0,0.1,0.05,0.025,0.0,0.125,0.275,40,,
spot_244,0.0,0.058823529411764705,0.47058823529411764,0.0,0.23529411764705882,0.0,0.058823529411764705,0.0,0.17647058823529413,0.0,17,,
spot_245,0.041666666666666664,0.4166666666666667,0.08333333333333333,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.20833333333333334,0.16666666666666666,24,,
spot_246,0.0,0.15384615384615385,0.038461538461538464,0.0,0.11538461538461539,0.07692307692307693,0.038461538461538464,0.0,0.2692307692307692,0.3076923076923077,26,,
spot_247,0.0,0.05263157894736842,0.15789473684210525,0.0,0.05263157894736842,0.21052631578947367,0.05263157894736842,0.0,0.21052631578947367,0.2631578947368421,19,,
spot_248,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.2857142857142857,0.5,14,,
spot_249,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.14285714285714285,7,,
spot_250,0.23809523809523808,0.19047619047619047,0.14285714285714285,0.0,0.09523809523809523,0.0,0.19047619047619047,0.0,0.047619047619047616,0.09523809523809523,21,,
spot_251,0.09090909090909091,0.3181818181818182,0.18181818181818182,0.0,0.09090909090909091,0.045454545454545456,0.0,0.13636363636363635,0.13636363636363635,0.0,22,,
spot_346,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4,,
spot_347,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,4,,
spot_349,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,5,,
spot_350,0.0,0.25,0.1875,0.0,0.125,0.0625,0.0625,0.0625,0.125,0.125,16,,
spot_351,0.0,0.46808510638297873,0.19148936170212766,0.0,0.06382978723404255,0.0851063829787234,0.02127659574468085,0.06382978723404255,0.10638297872340426,0.0,47,,
spot_352,0.0784313725490196,0.5294117647058824,0.0196078431372549,0.0,0.1568627450980392,0.13725490196078433,0.0196078431372549,0.0,0.058823529411764705,0.0,51,,
spot_353,0.3055555555555556,0.19444444444444445,0.0,0.0,0.1111111111111111,0.16666666666666666,0.027777777777777776,0.0,0.08333333333333333,0.1111111111111111,36,,
spot_354,0.12,0.08,0.0,0.0,0.24,0.16,0.0,0.0,0.12,0.28,25,,
spot_355,0.0,0.1,0.0,0.0,0.05,0.0,0.05,0.0,0.6,0.2,20,,
spot_356,0.08163265306122448,0.4897959183673469,0.02040816326530612,0.0,0.1836734693877551,0.10204081632653061,0.0,0.02040816326530612,0.061224489795918366,0.04081632653061224,49,,
spot_357,0.047619047619047616,0.5476190476190477,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.023809523809523808,0.0,0.09523809523809523,0.0,42,,
spot_358,0.05454545454545454,0.6909090909090909,0.0,0.0,0.09090909090909091,0.09090909090909091,0.03636363636363636,0.0,0.03636363636363636,0.0,55,,
spot_359,0.037037037037037035,0.18518518518518517,0.0,0.0,0.2962962962962963,0.07407407407407407,0.037037037037037035,0.0,0.14814814814814814,0.2222222222222222,27,,
spot_360,0.0,0.25,0.3333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.25,0.0,12,,
spot_361,0.11363636363636363,0.5227272727272727,0.09090909090909091,0.0,0.09090909090909091,0.13636363636363635,0.0,0.0,0.022727272727272728,0.022727272727272728,44,,
spot_362,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.047619047619047616,0.11904761904761904,0.09523809523809523,0.047619047619047616,0.0,0.047619047619047616,42,,
spot_363,0.0,0.07142857142857142,0.35714285714285715,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.35714285714285715,0.0,14,,
spot_364,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.0,0.2727272727272727,0.22727272727272727,22,,
spot_365,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.16666666666666666,0.3888888888888889,0.2777777777777778,18,,
spot_366,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.4,0.2,10,,
