cell_id,cell_type
aaaaaglh-1,Mixed Immune
aaaadpem-1,CD8+ T cells
aaaafdfe-1,CD8+ T cells
aaaagljm-1,Epithelial
aaaahdcb-1,Mixed Immune
aaaajcne-1,Mixed Immune
aaaalgjj-1,Macrophages
aaaalnpm-1,Mixed Immune
aaaamidn-1,Macrophages
aaabaafl-1,Mixed Immune
aaabalhc-1,CD8+ T cells
aaabeahl-1,Endothelial
aaabfcko-1,Mixed Immune
aaabhjki-1,Macrophages
aaabijnd-1,Epithelial
aaabipaf-1,CD8+ T cells
aaabkghh-1,CD8+ T cells
aaablhgp-1,Endothelial
aaablpjg-1,Mixed Immune
aaabmhdh-1,Myofibroblasts
aaabnnna-1,CD8+ T cells
aaabpglg-1,Epithelial
aaacagcb-1,Mixed Immune
aaacebli-1,CD8+ T cells
aaachlkk-1,CD8+ T cells
aaacjipm-1,Epithelial
aaackhbh-1,Macrophages
aaacomjf-1,CD8+ T cells
aaadblle-1,CD8+ T cells
aaadhahj-1,Macrophages
aaadhcmp-1,Mixed Immune
aaadlhcl-1,Myofibroblasts
aaadmjjn-1,CD8+ T cells
aaaebfan-1,Myofibroblasts
aaaecnpf-1,Macrophages
aaaedodf-1,Mixed Immune
aaaefbjj-1,Myofibroblasts
aaaeffgn-1,Mixed Immune
aaaegcgd-1,CD8+ T cells
aaaehafe-1,Macrophages
aaaeheim-1,CD8+ T cells
aaaekgic-1,CD8+ T cells
aaaeklfg-1,Mixed Immune
aaaemobo-1,Mixed Immune
aaaempdm-1,CD8+ T cells
aaaenbkl-1,Mixed Immune
aaaenoak-1,Macrophages
aaafcebf-1,Myofibroblasts
aaafekam-1,Mixed Immune
aaaffaho-1,Macrophages
aaaffeli-1,Mixed Immune
aaaffkhh-1,Vascular Stromal
aaafgmpn-1,Macrophages
aaafleep-1,Macrophages
aaaflhba-1,Macrophages
aaafnbkn-1,CD8+ T cells
aaafoikg-1,Macrophages
aaagdgbc-1,CD8+ T cells
aaagkkme-1,Macrophages
aaagnoba-1,CD8+ T cells
aaahaekk-1,CD8+ T cells
aaahbheh-1,CD8+ T cells
