,B cells,Endothelial,Epithelial,Fibroblasts,Macrophages,T cells,n_cells,spot_x,spot_y
spot_46,0.05714285714285714,0.2571428571428571,0.0,0.22857142857142856,0.2,0.2571428571428571,35,,
spot_47,0.0,0.08,0.0,0.12,0.32,0.48,25,,
spot_48,0.029411764705882353,0.35294117647058826,0.0,0.058823529411764705,0.11764705882352941,0.4411764705882353,34,,
spot_49,0.0,0.125,0.0,0.5,0.375,0.0,8,,
spot_50,0.0,0.0,0.4,0.2,0.2,0.2,5,,
spot_51,0.0,0.0,0.6470588235294118,0.0,0.11764705882352941,0.23529411764705882,17,,
spot_52,0.0,0.0,0.5833333333333334,0.0,0.08333333333333333,0.3333333333333333,12,,
spot_53,0.0,0.0,0.5555555555555556,0.0,0.2222222222222222,0.2222222222222222,9,,
spot_54,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.42857142857142855,14,,
spot_55,0.0,0.0,0.5555555555555556,0.0,0.2222222222222222,0.2222222222222222,9,,
spot_56,0.0,0.0,0.35294117647058826,0.0,0.23529411764705882,0.4117647058823529,17,,
spot_57,0.0,0.0,0.16666666666666666,0.0,0.5833333333333334,0.25,12,,
spot_58,0.0,0.0,0.5,0.0,0.3125,0.1875,16,,
spot_59,0.0,0.1111111111111111,0.4444444444444444,0.0,0.3333333333333333,0.1111111111111111,9,,
spot_60,0.0,0.15384615384615385,0.0,0.38461538461538464,0.3076923076923077,0.15384615384615385,13,,
spot_61,0.0,0.16666666666666666,0.0,0.25,0.5,0.08333333333333333,12,,
spot_62,0.0,0.0,0.36363636363636365,0.0,0.45454545454545453,0.18181818181818182,11,,
spot_63,0.0,0.17391304347826086,0.13043478260869565,0.08695652173913043,0.21739130434782608,0.391304347826087,23,,
spot_64,0.0,0.3157894736842105,0.05263157894736842,0.42105263157894735,0.10526315789473684,0.10526315789473684,19,,
spot_65,0.0,0.16666666666666666,0.0,0.2222222222222222,0.2222222222222222,0.3888888888888889,36,,
spot_66,0.030303030303030304,0.24242424242424243,0.0,0.030303030303030304,0.18181818181818182,0.5151515151515151,33,,
spot_67,0.0,0.15384615384615385,0.0,0.07692307692307693,0.15384615384615385,0.6153846153846154,39,,
spot_68,0.0,0.1794871794871795,0.0,0.1282051282051282,0.10256410256410256,0.5897435897435898,39,,
spot_161,0.04,0.08,0.0,0.06,0.1,0.72,50,,
spot_162,0.0,0.0851063829787234,0.0,0.06382978723404255,0.06382978723404255,0.7872340425531915,47,,
spot_163,0.0,0.09090909090909091,0.0,0.6363636363636364,0.2727272727272727,0.0,11,,
spot_164,0.0,0.0,0.13333333333333333,0.0,0.7333333333333333,0.13333333333333333,15,,
spot_165,0.0,0.0,0.5,0.0,0.16666666666666666,0.3333333333333333,12,,
spot_166,0.0,0.0,0.875,0.0,0.125,0.0,8,,
spot_167,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,6,,
spot_168,0.0,0.0,0.5454545454545454,0.0,0.2727272727272727,0.18181818181818182,11,,
spot_169,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,7,,
spot_170,0.0,0.0,0.2222222222222222,0.0,0.7777777777777778,0.0,9,,
spot_171,0.0,0.0,0.6,0.0,0.4,0.0,10,,
spot_172,0.0,0.0,0.18181818181818182,0.0,0.8181818181818182,0.0,11,,
spot_173,0.1111111111111111,0.0,0.1111111111111111,0.0,0.7222222222222222,0.05555555555555555,18,,
spot_174,0.0,0.0,0.21428571428571427,0.0,0.7857142857142857,0.0,14,,
spot_175,0.0,0.0,0.2727272727272727,0.0,0.6363636363636364,0.09090909090909091,11,,
spot_176,0.2,0.0,0.3,0.0,0.3,0.2,10,,
spot_177,0.0,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.3076923076923077,0.07692307692307693,13,,
spot_178,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,15,,
spot_179,0.0,0.0,0.1875,0.0,0.625,0.1875,16,,
spot_180,0.0,0.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0,7,,
spot_181,0.0,0.4444444444444444,0.0,0.3333333333333333,0.2222222222222222,0.0,9,,
spot_182,0.0,0.4,0.0,0.13333333333333333,0.2,0.26666666666666666,15,,
spot_275,0.025,0.175,0.0,0.175,0.2,0.425,40,,
spot_276,0.04,0.08,0.0,0.36,0.24,0.28,25,,
spot_277,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.46153846153846156,0.07692307692307693,13,,
spot_278,0.0,0.0,0.15789473684210525,0.0,0.5789473684210527,0.2631578947368421,19,,
spot_279,0.0,0.0,0.045454545454545456,0.0,0.36363636363636365,0.5909090909090909,22,,
spot_280,0.0,0.0,0.25,0.0,0.3125,0.4375,16,,
spot_281,0.0,0.0,0.3076923076923077,0.0,0.23076923076923078,0.46153846153846156,13,,
spot_282,0.0,0.0,0.4,0.0,0.2,0.4,10,,
spot_283,0.0,0.0,0.5555555555555556,0.0,0.4444444444444444,0.0,9,,
spot_284,0.0,0.0,0.21739130434782608,0.0,0.782608695652174,0.0,23,,
spot_285,0.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,9,,
spot_286,0.0,0.0,0.15384615384615385,0.0,0.6923076923076923,0.15384615384615385,13,,
spot_287,0.0,0.0,0.21428571428571427,0.0,0.7142857142857143,0.07142857142857142,14,,
spot_288,0.10526315789473684,0.0,0.0,0.05263157894736842,0.5789473684210527,0.2631578947368421,19,,
spot_289,0.0,0.0,0.3076923076923077,0.0,0.6153846153846154,0.07692307692307693,13,,
spot_290,0.0,0.0,0.21052631578947367,0.0,0.5789473684210527,0.21052631578947367,19,,
spot_291,0.0,0.0,0.25,0.0,0.75,0.0,12,,
spot_292,0.0,0.5,0.0,0.25,0.25,0.0,4,,
spot_293,0.0,0.1,0.3,0.0,0.6,0.0,10,,
spot_294,0.0,0.08333333333333333,0.5833333333333334,0.16666666666666666,0.08333333333333333,0.08333333333333333,12,,
spot_295,0.0,0.05263157894736842,0.42105263157894735,0.0,0.47368421052631576,0.05263157894736842,19,,
spot_296,0.0,0.2222222222222222,0.0,0.3333333333333333,0.4444444444444444,0.0,9,,
spot_297,0.0,0.25,0.0,0.5,0.25,0.0,8,,
spot_390,0.0,0.3448275862068966,0.0,0.20689655172413793,0.3103448275862069,0.13793103448275862,29,,
spot_392,0.0,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0,21,,
spot_393,0.0,0.0,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,18,,
spot_394,0.0,0.0,0.14285714285714285,0.0,0.6666666666666666,0.19047619047619047,21,,
spot_395,0.0,0.0,0.23076923076923078,0.0,0.7692307692307693,0.0,13,,
spot_396,0.0,0.0,0.23809523809523808,0.0,0.3333333333333333,0.42857142857142855,21,,
spot_397,0.0,0.0,0.25,0.0,0.625,0.125,8,,
spot_398,0.0,0.0,0.0,0.0,1.0,0.0,14,,
spot_399,0.0,0.0,0.08333333333333333,0.0,0.9166666666666666,0.0,12,,
spot_400,0.0,0.0,0.0,0.0,0.875,0.125,16,,
spot_401,0.0,0.0,0.045454545454545456,0.0,0.9090909090909091,0.045454545454545456,22,,
spot_402,0.0,0.0,0.0,0.1,0.9,0.0,10,,
spot_403,0.0,0.0,0.0,0.0,1.0,0.0,13,,
spot_404,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,7,,
spot_405,0.07142857142857142,0.0,0.07142857142857142,0.0,0.7857142857142857,0.07142857142857142,14,,
spot_406,0.0,0.0,0.10526315789473684,0.10526315789473684,0.7368421052631579,0.05263157894736842,19,,
spot_407,0.0,0.23809523809523808,0.0,0.5714285714285714,0.19047619047619047,0.0,21,,
spot_408,0.0,0.5333333333333333,0.0,0.2,0.2,0.06666666666666667,15,,
spot_409,0.20454545454545456,0.11363636363636363,0.0,0.022727272727272728,0.1590909090909091,0.5,44,,
spot_410,0.0,0.3870967741935484,0.0,0.22580645161290322,0.2903225806451613,0.0967741935483871,31,,
spot_411,0.0,0.2727272727272727,0.0,0.09090909090909091,0.4090909090909091,0.22727272727272727,22,,
spot_504,0.0,0.125,0.0,0.25,0.125,0.5,8,,
spot_505,0.0,0.29411764705882354,0.0,0.29411764705882354,0.17647058823529413,0.23529411764705882,17,,
spot_506,0.0,0.0,0.0,0.0,1.0,0.0,3,,
spot_507,0.0,0.0,0.125,0.0,0.8125,0.0625,16,,
spot_508,0.0,0.0,0.2608695652173913,0.0,0.4782608695652174,0.2608695652173913,23,,
spot_509,0.0,0.0,0.07407407407407407,0.0,0.7037037037037037,0.2222222222222222,27,,
spot_510,0.0,0.0,0.3076923076923077,0.0,0.5384615384615384,0.15384615384615385,13,,
spot_511,0.0,0.0,0.19047619047619047,0.0,0.47619047619047616,0.3333333333333333,21,,
spot_512,0.0,0.0,0.875,0.0,0.125,0.0,8,,
spot_513,0.0,0.0,0.08333333333333333,0.0,0.75,0.16666666666666666,12,,
spot_514,0.0,0.0,0.35714285714285715,0.0,0.5,0.14285714285714285,14,,
spot_515,0.0,0.0,0.5333333333333333,0.0,0.4666666666666667,0.0,15,,
spot_516,0.0,0.0,0.3125,0.0,0.625,0.0625,16,,
spot_517,0.0,0.0,0.03333333333333333,0.0,0.9666666666666667,0.0,30,,
spot_518,0.058823529411764705,0.0,0.17647058823529413,0.0,0.7647058823529411,0.0,17,,
spot_519,0.0,0.0,0.5384615384615384,0.0,0.38461538461538464,0.07692307692307693,13,,
spot_520,0.0,0.0,0.3125,0.0,0.3125,0.375,16,,
spot_521,0.0,0.0,0.36363636363636365,0.0,0.36363636363636365,0.2727272727272727,11,,
spot_522,0.0,0.0,0.5384615384615384,0.0,0.46153846153846156,0.0,13,,
spot_523,0.0,0.0,0.2,0.0,0.8,0.0,5,,
spot_524,0.0,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,12,,
spot_525,0.0,0.3333333333333333,0.0,0.4666666666666667,0.06666666666666667,0.13333333333333333,15,,
spot_526,0.0,0.08333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.4166666666666667,12,,
spot_619,0.0,0.5714285714285714,0.0,0.2857142857142857,0.14285714285714285,0.0,7,,
spot_620,0.0,0.21428571428571427,0.0,0.21428571428571427,0.42857142857142855,0.14285714285714285,14,,
spot_622,0.0,0.0,0.1875,0.0,0.75,0.0625,16,,
spot_623,0.0,0.058823529411764705,0.29411764705882354,0.0,0.5294117647058824,0.11764705882352941,17,,
spot_624,0.0,0.0,0.0625,0.0,0.5,0.4375,32,,
spot_625,0.0,0.0,0.07692307692307693,0.0,0.9230769230769231,0.0,13,,
spot_626,0.023809523809523808,0.0,0.023809523809523808,0.0,0.4523809523809524,0.5,42,,
spot_627,0.0,0.0,0.2222222222222222,0.0,0.2962962962962963,0.48148148148148145,27,,
spot_628,0.125,0.0,0.3125,0.0,0.375,0.1875,16,,
spot_629,0.0,0.0,0.1875,0.0,0.75,0.0625,16,,
spot_630,0.0,0.0,0.2916666666666667,0.0,0.5,0.20833333333333334,24,,
spot_631,0.0,0.0,0.35714285714285715,0.0,0.6428571428571429,0.0,14,,
spot_632,0.0,0.0,0.35714285714285715,0.0,0.6428571428571429,0.0,14,,
spot_633,0.05,0.0,0.1,0.0,0.65,0.2,20,,
spot_634,0.0,0.0,0.25,0.0,0.5,0.25,20,,
