,B cells,CD4+ T cells,CD8+ T cells,Dendritic cells,Endothelial,Epithelial,Fibroblasts,Macrophages,NK cells,Plasma cells,Unassigned,n_cells,spot_x,spot_y
spot_23,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.0,0.03333333333333333,0.06666666666666667,0.3,0.16666666666666666,0.0,0.03333333333333333,0.16666666666666666,30,,
spot_24,0.0,0.05263157894736842,0.0,0.0,0.21052631578947367,0.05263157894736842,0.2631578947368421,0.10526315789473684,0.0,0.0,0.3157894736842105,19,,
spot_29,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.23529411764705882,0.0,0.0,0.0,0.6470588235294118,17,,
spot_30,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,13,,
spot_31,0.0,0.058823529411764705,0.0,0.0,0.17647058823529413,0.0,0.058823529411764705,0.17647058823529413,0.0,0.0,0.5294117647058824,17,,
spot_32,0.058823529411764705,0.0,0.058823529411764705,0.0,0.4117647058823529,0.0,0.0,0.17647058823529413,0.0,0.0,0.29411764705882354,17,,
spot_33,0.0,0.125,0.0625,0.0,0.5,0.0625,0.0,0.0625,0.0,0.0,0.1875,16,,
spot_34,0.0,0.3448275862068966,0.13793103448275862,0.0,0.13793103448275862,0.13793103448275862,0.034482758620689655,0.10344827586206896,0.0,0.0,0.10344827586206896,29,,
spot_35,0.0,0.09090909090909091,0.18181818181818182,0.0,0.45454545454545453,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.0,0.0,0.045454545454545456,22,,
spot_36,0.024390243902439025,0.6097560975609756,0.0975609756097561,0.04878048780487805,0.04878048780487805,0.0,0.04878048780487805,0.0975609756097561,0.0,0.0,0.024390243902439025,41,,
spot_37,0.0,0.7543859649122807,0.08771929824561403,0.017543859649122806,0.0,0.017543859649122806,0.0,0.10526315789473684,0.0,0.0,0.017543859649122806,57,,
spot_38,0.05405405405405406,0.35135135135135137,0.21621621621621623,0.05405405405405406,0.02702702702702703,0.0,0.05405405405405406,0.1891891891891892,0.0,0.0,0.05405405405405406,37,,
spot_39,0.0,0.15,0.15,0.0,0.1,0.0,0.2,0.2,0.0,0.0,0.2,20,,
spot_40,0.0,0.3,0.2,0.0,0.1,0.05,0.15,0.05,0.0,0.0,0.15,20,,
spot_41,0.0,0.0,0.23076923076923078,0.0,0.23076923076923078,0.15384615384615385,0.0,0.07692307692307693,0.0,0.0,0.3076923076923077,13,,
spot_42,0.0,0.0,0.07692307692307693,0.0,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.46153846153846156,13,,
spot_43,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.5,12,,
spot_44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,,
spot_45,0.0,0.1,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.3,10,,
spot_138,0.0,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.3142857142857143,0.0,0.05714285714285714,0.22857142857142856,0.0,0.0,0.17142857142857143,35,,
spot_139,0.0,0.08,0.04,0.0,0.28,0.04,0.08,0.0,0.0,0.0,0.48,25,,
spot_140,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.34782608695652173,0.043478260869565216,0.17391304347826086,0.0,0.0,0.0,0.30434782608695654,23,,
spot_141,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.2,0.06666666666666667,0.0,0.0,0.4666666666666667,15,,
spot_142,0.0,0.0,0.0,0.047619047619047616,0.2857142857142857,0.0,0.19047619047619047,0.0,0.0,0.0,0.47619047619047616,21,,
spot_143,0.0,0.0,0.04,0.0,0.44,0.0,0.12,0.04,0.0,0.0,0.36,25,,
spot_146,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.25,4,,
spot_147,0.0,0.0,0.1,0.0,0.2,0.1,0.5,0.1,0.0,0.0,0.0,10,,
spot_148,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,
spot_150,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,7,,
spot_151,0.0,0.6785714285714286,0.10714285714285714,0.0,0.03571428571428571,0.0,0.03571428571428571,0.03571428571428571,0.0,0.0,0.10714285714285714,28,,
spot_152,0.0,0.5428571428571428,0.14285714285714285,0.0,0.0,0.0,0.08571428571428572,0.14285714285714285,0.0,0.0,0.08571428571428572,35,,
spot_153,0.0,0.0,0.23076923076923078,0.0,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.0,0.0,0.07692307692307693,13,,
spot_154,0.0,0.1935483870967742,0.22580645161290322,0.0,0.1935483870967742,0.03225806451612903,0.25806451612903225,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,31,,
spot_155,0.0,0.10526315789473684,0.05263157894736842,0.0,0.2631578947368421,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.0,0.0,0.3157894736842105,19,,
spot_156,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0,0.0,0.3333333333333333,9,,
spot_158,0.0,0.0,0.0,0.0,0.3,0.0,0.65,0.0,0.0,0.0,0.05,20,,
spot_159,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,3,,
spot_160,0.0,0.0,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,12,,
spot_252,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,7,,
spot_253,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.25,4,,
spot_255,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.6,5,,
spot_256,0.0,0.0,0.0,0.3333333333333333,0.26666666666666666,0.0,0.26666666666666666,0.0,0.0,0.0,0.13333333333333333,15,,
spot_258,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.6666666666666666,15,,
spot_259,0.0,0.0,0.0,0.0,0.75,0.0,0.125,0.0,0.0,0.0,0.125,8,,
spot_260,0.0,0.0,0.0,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,10,,
spot_261,0.0,0.0,0.0,0.05263157894736842,0.3157894736842105,0.0,0.3684210526315789,0.05263157894736842,0.0,0.0,0.21052631578947367,19,,
spot_262,0.0,0.038461538461538464,0.0,0.038461538461538464,0.2692307692307692,0.0,0.19230769230769232,0.15384615384615385,0.0,0.0,0.3076923076923077,26,,
spot_263,0.0,0.14285714285714285,0.10714285714285714,0.0,0.25,0.03571428571428571,0.17857142857142858,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285,28,,
spot_264,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.5882352941176471,0.11764705882352941,0.0,0.0,0.11764705882352941,17,,
spot_265,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.2727272727272727,0.0,0.0,0.0,0.5454545454545454,11,,
spot_266,0.0,0.0,0.07692307692307693,0.0,0.23076923076923078,0.0,0.5384615384615384,0.0,0.0,0.0,0.15384615384615385,13,,
spot_267,0.0,0.045454545454545456,0.13636363636363635,0.0,0.045454545454545456,0.0,0.22727272727272727,0.045454545454545456,0.0,0.0,0.5,22,,
spot_268,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,10,,
spot_269,0.0,0.0,0.0625,0.0625,0.1875,0.0,0.1875,0.25,0.0,0.0,0.25,16,,
spot_270,0.0,0.14285714285714285,0.14285714285714285,0.0,0.07142857142857142,0.0,0.42857142857142855,0.07142857142857142,0.0,0.0,0.14285714285714285,14,,
spot_271,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.7058823529411765,0.058823529411764705,0.0,0.0,0.17647058823529413,17,,
spot_272,0.0,0.05555555555555555,0.05555555555555555,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.0,0.0,0.05555555555555555,0.2777777777777778,18,,
spot_273,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,3,,
spot_274,0.0,0.07692307692307693,0.0,0.0,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.38461538461538464,0.0,0.0,0.07692307692307693,13,,
spot_367,0.0,0.0,0.0,0.0,0.5714285714285714,0.047619047619047616,0.09523809523809523,0.23809523809523808,0.0,0.0,0.047619047619047616,21,,
spot_368,0.0,0.05,0.0,0.0,0.35,0.05,0.15,0.25,0.0,0.0,0.15,20,,
spot_369,0.0,0.0,0.0,0.0,0.2608695652173913,0.043478260869565216,0.13043478260869565,0.21739130434782608,0.0,0.0,0.34782608695652173,23,,
spot_370,0.0,0.0,0.0,0.0,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.0,0.4,15,,
spot_371,0.0,0.125,0.0,0.0,0.375,0.0,0.25,0.125,0.0,0.0,0.125,8,,
spot_377,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,3,,
spot_378,0.0,0.2222222222222222,0.0,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,9,,
spot_379,0.0,0.0,0.0,0.0,0.25,0.0,0.3333333333333333,0.08333333333333333,0.0,0.0,0.3333333333333333,12,,
spot_381,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,4,,
spot_382,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.0,0.0,0.0,0.45454545454545453,11,,
spot_383,0.0,0.21052631578947367,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.0,0.3684210526315789,0.0,0.0,0.0,0.10526315789473684,19,,
spot_384,0.0,0.0,0.26666666666666666,0.0,0.0,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.0,0.0,0.2,15,,
spot_385,0.0,0.0,0.0,0.0,0.3,0.0,0.4,0.0,0.0,0.0,0.3,10,,
spot_386,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.25,4,,
spot_387,0.0,0.15789473684210525,0.10526315789473684,0.0,0.3157894736842105,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.0,0.0,0.15789473684210525,19,,
spot_388,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.2,0.0,0.0,0.2,10,,
spot_389,0.0,0.06666666666666667,0.26666666666666666,0.0,0.3333333333333333,0.0,0.2,0.0,0.0,0.0,0.13333333333333333,15,,
spot_481,0.0,0.2727272727272727,0.09090909090909091,0.0,0.22727272727272727,0.0,0.0,0.09090909090909091,0.0,0.0,0.3181818181818182,22,,
spot_482,0.0,0.05,0.05,0.0,0.3,0.1,0.25,0.05,0.0,0.0,0.2,20,,
spot_483,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,4,,
spot_488,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,7,,
spot_489,0.0,0.07692307692307693,0.0,0.0,0.15384615384615385,0.0,0.23076923076923078,0.15384615384615385,0.0,0.0,0.38461538461538464,26,,
spot_490,0.0,0.05,0.05,0.0,0.2,0.0,0.2,0.05,0.0,0.0,0.45,20,,
spot_491,0.0,0.043478260869565216,0.0,0.0,0.17391304347826086,0.043478260869565216,0.0,0.13043478260869565,0.0,0.043478260869565216,0.5652173913043478,23,,
spot_492,0.0,0.1,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.1,0.0,0.0,0.5,30,,
spot_493,0.0,0.06451612903225806,0.06451612903225806,0.0,0.0,0.0,0.45161290322580644,0.0967741935483871,0.0,0.0,0.3225806451612903,31,,
spot_494,0.0,0.21428571428571427,0.14285714285714285,0.0,0.0,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.0,0.0,0.21428571428571427,14,,
spot_495,0.0,0.0,0.11764705882352941,0.0,0.17647058823529413,0.0,0.23529411764705882,0.058823529411764705,0.0,0.0,0.4117647058823529,17,,
spot_496,0.0,0.0,0.125,0.0,0.375,0.0,0.375,0.0,0.0,0.0,0.125,8,,
spot_497,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,4,,
spot_498,0.0,0.0,0.0,0.0,0.25,0.0,0.4166666666666667,0.08333333333333333,0.0,0.0,0.25,12,,
spot_499,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,5,,
spot_500,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.125,8,,
spot_501,0.0,0.14285714285714285,0.09523809523809523,0.0,0.047619047619047616,0.0,0.14285714285714285,0.23809523809523808,0.0,0.0,0.3333333333333333,21,,
spot_502,0.0,0.13333333333333333,0.2,0.0,0.0,0.0,0.4666666666666667,0.06666666666666667,0.0,0.0,0.13333333333333333,15,,
spot_503,0.0,0.0625,0.0,0.0,0.1875,0.25,0.25,0.0625,0.0,0.0,0.1875,16,,
spot_596,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,4,,
spot_597,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.2,5,,
spot_598,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,5,,
spot_599,0.0,0.0,0.0,0.0,0.29411764705882354,0.0,0.5294117647058824,0.058823529411764705,0.0,0.0,0.11764705882352941,17,,
spot_600,0.0,0.0625,0.125,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.4375,16,,
spot_601,0.0,0.1,0.0,0.0,0.3,0.0,0.1,0.2,0.0,0.0,0.3,10,,
spot_602,0.0,0.0,0.0,0.0,0.17647058823529413,0.058823529411764705,0.23529411764705882,0.11764705882352941,0.0,0.0,0.4117647058823529,17,,
spot_603,0.0,0.0,0.07142857142857142,0.0,0.5,0.0,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,14,,
spot_604,0.0,0.10526315789473684,0.21052631578947367,0.0,0.0,0.0,0.10526315789473684,0.3684210526315789,0.0,0.0,0.21052631578947367,19,,
spot_605,0.0,0.2,0.15,0.0,0.05,0.1,0.1,0.25,0.0,0.0,0.15,20,,
spot_606,0.0,0.18181818181818182,0.22727272727272727,0.0,0.0,0.045454545454545456,0.045454545454545456,0.2727272727272727,0.0,0.0,0.22727272727272727,22,,
spot_607,0.0,0.1,0.1,0.05,0.1,0.1,0.25,0.25,0.0,0.0,0.05,20,,
spot_608,0.0,0.0,0.08333333333333333,0.041666666666666664,0.20833333333333334,0.0,0.375,0.20833333333333334,0.0,0.0,0.08333333333333333,24,,
spot_609,0.0,0.13043478260869565,0.17391304347826086,0.0,0.0,0.0,0.2608695652173913,0.13043478260869565,0.0,0.0,0.30434782608695654,23,,
spot_610,0.0,0.125,0.16666666666666666,0.0,0.25,0.041666666666666664,0.08333333333333333,0.125,0.0,0.0,0.20833333333333334,24,,
spot_611,0.0,0.0,0.0,0.0,0.2727272727272727,0.045454545454545456,0.13636363636363635,0.22727272727272727,0.0,0.0,0.3181818181818182,22,,
spot_612,0.0,0.0,0.1,0.0,0.3,0.1,0.2,0.2,0.0,0.0,0.1,10,,
spot_613,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,6,,
spot_614,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,7,,
spot_615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,6,,
spot_616,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.5714285714285714,7,,
spot_617,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,4,,
spot_618,0.0,0.05555555555555555,0.16666666666666666,0.0,0.16666666666666666,0.05555555555555555,0.3888888888888889,0.0,0.0,0.05555555555555555,0.1111111111111111,18,,
spot_710,0.0,0.0,0.19047619047619047,0.0,0.2857142857142857,0.0,0.23809523809523808,0.0,0.0,0.0,0.2857142857142857,21,,
spot_711,0.0,0.16666666666666666,0.20833333333333334,0.0,0.0,0.0,0.125,0.16666666666666666,0.0,0.0,0.3333333333333333,24,,
spot_712,0.0,0.09090909090909091,0.0,0.09090909090909091,0.045454545454545456,0.0,0.0,0.4090909090909091,0.0,0.0,0.36363636363636365,22,,
spot_713,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.29411764705882354,0.23529411764705882,0.0,0.0,0.29411764705882354,17,,
spot_714,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.5,10,,
spot_715,0.0,0.0,0.21052631578947367,0.0,0.42105263157894735,0.0,0.3684210526315789,0.0,0.0,0.0,0.0,19,,
spot_716,0.0,0.17647058823529413,0.17647058823529413,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,0.5294117647058824,17,,
spot_717,0.0,0.05263157894736842,0.0,0.0,0.21052631578947367,0.0,0.05263157894736842,0.5789473684210527,0.0,0.0,0.10526315789473684,19,,
spot_718,0.0,0.05555555555555555,0.05555555555555555,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.2777777777777778,0.0,0.0,0.05555555555555555,18,,
spot_719,0.0,0.05555555555555555,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.0,0.05555555555555555,18,,
spot_720,0.0,0.0,0.0,0.0,0.14285714285714285,0.35714285714285715,0.5,0.0,0.0,0.0,0.0,14,,
spot_721,0.0,0.0,0.09523809523809523,0.14285714285714285,0.0,0.047619047619047616,0.5238095238095238,0.14285714285714285,0.0,0.0,0.047619047619047616,21,,
spot_722,0.0,0.0,0.2727272727272727,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.4090909090909091,0.0,0.0,0.045454545454545456,22,,
spot_723,0.0,0.0,0.14285714285714285,0.0,0.21428571428571427,0.07142857142857142,0.5714285714285714,0.0,0.0,0.0,0.0,14,,
spot_724,0.0,0.0,0.2903225806451613,0.03225806451612903,0.0,0.0,0.22580645161290322,0.3870967741935484,0.0,0.0,0.06451612903225806,31,,
spot_725,0.0,0.12,0.28,0.04,0.04,0.04,0.12,0.24,0.0,0.0,0.12,25,,
spot_726,0.0,0.19230769230769232,0.3076923076923077,0.0,0.038461538461538464,0.038461538461538464,0.15384615384615385,0.15384615384615385,0.0,0.0,0.11538461538461539,26,,
spot_727,0.08695652173913043,0.043478260869565216,0.0,0.0,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.2608695652173913,0.0,0.0,0.2608695652173913,23,,
spot_728,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.25,0.16666666666666666,0.0,0.0,0.4166666666666667,12,,
spot_729,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,7,,
spot_730,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.5714285714285714,0.0,0.0,0.0,0.14285714285714285,7,,
spot_731,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,12,,
spot_732,0.0,0.0,0.375,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.25,8,,
spot_825,0.0,0.08,0.04,0.0,0.16,0.0,0.52,0.08,0.0,0.0,0.12,25,,
spot_826,0.0,0.09090909090909091,0.0,0.0,0.13636363636363635,0.0,0.13636363636363635,0.3181818181818182,0.0,0.0,0.3181818181818182,22,,
spot_827,0.0,0.125,0.25,0.0,0.125,0.0,0.1875,0.0625,0.0,0.0,0.25,16,,
spot_828,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.0,0.42857142857142855,14,,
spot_829,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.041666666666666664,0.125,0.625,0.0,0.0,0.125,24,,
