,cell_type
aaaaaglh-1,CD8+ T cells
aaaadpem-1,Macrophages
aaaafdfe-1,CD8+ T cells
aaaagljm-1,Unknown
aaaahdcb-1,Unknown
aaaajcne-1,CD8+ T cells
aaaalgjj-1,Macrophages
aaaalnpm-1,CD8+ T cells
aaaamidn-1,Macrophages
aaabaafl-1,CD8+ T cells
aaabalbf-1,CD8+ T cells
aaabalhc-1,CD8+ T cells
aaabeahl-1,Endothelial
aaabfcko-1,Macrophages
aaabhjki-1,Macrophages
aaabijnd-1,Unknown
aaabipaf-1,CD8+ T cells
aaabkghh-1,CD8+ T cells
aaablhgp-1,Endothelial
aaablpjg-1,CD8+ T cells
aaabmhdh-1,Fibroblasts
aaabnnna-1,Unknown
aaabpglg-1,Unknown
aaacagcb-1,CD4+ T cells
aaacebli-1,CD8+ T cells
aaachlkk-1,CD4+ T cells
aaacjipm-1,Epithelial
aaackhbh-1,Macrophages
aaacomjf-1,Unknown
aaadblle-1,CD8+ T cells
aaadhahj-1,Macrophages
aaadhcmp-1,Epithelial
aaadlhcl-1,Endothelial
aaadmjjn-1,CD8+ T cells
aaaebfan-1,Unknown
aaaecnpf-1,Macrophages
aaaedodf-1,Unknown
aaaefbjj-1,Fibroblasts
aaaeffgn-1,CD8+ T cells
aaaegcgd-1,CD8+ T cells
aaaehafe-1,CD8+ T cells
aaaeheim-1,CD8+ T cells
aaaekgic-1,CD8+ T cells
aaaeklfg-1,CD8+ T cells
aaaemobo-1,CD8+ T cells
aaaempdm-1,CD8+ T cells
aaaenbkl-1,CD8+ T cells
aaaenoak-1,Macrophages
aaafcebf-1,Fibroblasts
aaafekam-1,CD8+ T cells
aaaffaho-1,Macrophages
aaaffeli-1,CD8+ T cells
aaaffkhh-1,Epithelial
aaafgmpn-1,Macrophages
aaafleep-1,Macrophages
aaaflhba-1,Macrophages
aaafnbkn-1,CD8+ T cells
aaafoikg-1,Macrophages
aaagdgbc-1,Unknown
aaagkkme-1,Macrophages
aaagnoba-1,CD8+ T cells
aaahaekk-1,CD8+ T cells
aaahbheh-1,Unknown
aaahbhoj-1,CD8+ T cells
aaahcicp-1,Fibroblasts
aaahfooc-1,CD8+ T cells
aaahgddh-1,CD8+ T cells
aaahhlho-1,Fibroblasts
aaahniko-1,Macrophages
aaahocmo-1,Macrophages
aaahoead-1,CD8+ T cells
aaahpphg-1,CD8+ T cells
aaaicbad-1,Unknown
aaaicchp-1,CD8+ T cells
aaaieapl-1,CD8+ T cells
aaaifeoh-1,Unknown
aaaijmdd-1,Macrophages
aaailmea-1,Macrophages
aaaimdeb-1,Macrophages
aaainfcj-1,Macrophages
aaajalli-1,CD8+ T cells
aaajbekm-1,Macrophages
aaajbomm-1,Macrophages
aaajdkgm-1,Macrophages
aaajenlh-1,Unknown
aaajfgdm-1,CD8+ T cells
aaajggme-1,Macrophages
aaajghie-1,Macrophages
aaajneei-1,CD4+ T cells
aaajpacn-1,Macrophages
aaakaicm-1,CD8+ T cells
aaakaidp-1,Epithelial
aaakalnl-1,CD8+ T cells
aaakapba-1,Endothelial
aaakapeo-1,Macrophages
aaakbifn-1,Macrophages
aaakboal-1,CD8+ T cells
aaakdijd-1,CD8+ T cells
aaakgnkp-1,Unknown
aaakhnei-1,CD8+ T cells
aaakjboe-1,Macrophages
aaakpffc-1,CD8+ T cells
aaalbaan-1,Macrophages
aaalcbhj-1,Unknown
aaalcooa-1,Unknown
aaalenei-1,CD8+ T cells
aaalephl-1,CD8+ T cells
aaalibnp-1,CD8+ T cells
aaalklff-1,Unknown
aaalknni-1,Unknown
aaalmcmm-1,Macrophages
aaamfjeg-1,CD4+ T cells
aaamgbcd-1,CD8+ T cells
aaamjnpo-1,CD8+ T cells
aaamkjpp-1,Epithelial
aaammmoe-1,Unknown
aaamnlim-1,Macrophages
aaampdlo-1,Unknown
aaanbpfa-1,CD8+ T cells
aaancmhn-1,CD8+ T cells
aaandmnm-1,Unknown
aaandpjk-1,Unknown
aaanepeb-1,Unknown
aaanfhbb-1,Unknown
aaanhake-1,Endothelial
aaanhhan-1,CD8+ T cells
aaanhlaj-1,CD8+ T cells
aaanimgh-1,Unknown
aaanljpj-1,Macrophages
aaanmelb-1,CD8+ T cells
aaanmjhe-1,Unknown
aaanmojg-1,CD8+ T cells
aaanognl-1,Macrophages
aaaoaeip-1,CD8+ T cells
aaaoeddb-1,Macrophages
aaaofjnh-1,Unknown
aaaojjhc-1,Unknown
aaaojmaa-1,CD8+ T cells
aaaoloen-1,Unknown
aaaomhih-1,CD8+ T cells
aaaommgg-1,Macrophages
aaaoobdd-1,CD8+ T cells
aaapalia-1,CD8+ T cells
aaapbamo-1,Macrophages
aaapcnle-1,Unknown
aaapdodf-1,Unknown
aaapeeap-1,CD8+ T cells
aaapidhd-1,Endothelial
aaapjgoa-1,Fibroblasts
aaapjlek-1,Endothelial
aaapmhho-1,CD8+ T cells
aaapmnmn-1,CD8+ T cells
aaappnpb-1,CD8+ T cells
aabaadec-1,Endothelial
aabaagij-1,Macrophages
aabaccai-1,CD4+ T cells
aabacfbn-1,Endothelial
aabadbpj-1,CD4+ T cells
aabaeokb-1,Unknown
aabakbbo-1,CD8+ T cells
aabamnpn-1,Unknown
aabamofi-1,Macrophages
aabaofnd-1,CD4+ T cells
aabbbdii-1,Unknown
aabbeckb-1,Epithelial
aabbeejc-1,Epithelial
aabbighe-1,Unknown
aabblgad-1,Macrophages
aabbpjmh-1,Unknown
aabcanog-1,Macrophages
aabcenen-1,CD8+ T cells
aabcflcc-1,Macrophages
aabcghlk-1,Unknown
aabchccm-1,Macrophages
aabcnbfn-1,Macrophages
aabcnpcd-1,CD8+ T cells
aabcodke-1,Macrophages
aabcpbgn-1,Unknown
aabdaegd-1,CD8+ T cells
aabdafnm-1,CD8+ T cells
aabdegba-1,CD8+ T cells
aabdijkp-1,CD8+ T cells
aabdkego-1,Unknown
aabdlcgj-1,CD4+ T cells
aabdpool-1,Unknown
aabempgk-1,Unknown
aabfcdpb-1,Unknown
aabfdanm-1,CD8+ T cells
aabfddje-1,Macrophages
aabfkkap-1,CD8+ T cells
aabfmhcj-1,CD8+ T cells
aabfoclf-1,Macrophages
aabfpfnh-1,CD8+ T cells
aabfpolh-1,CD8+ T cells
aabgainn-1,CD8+ T cells
aabgclpg-1,Macrophages
aabgdiad-1,CD8+ T cells
aabgecof-1,Unknown
aabgkkdo-1,CD8+ T cells
aabgpkmj-1,CD8+ T cells
aabhafdh-1,CD8+ T cells
aabhbfbd-1,CD8+ T cells
aabhdbak-1,CD8+ T cells
aabhembo-1,CD8+ T cells
aabhhhnh-1,CD8+ T cells
aabhicim-1,CD4+ T cells
aabhijkp-1,CD8+ T cells
aabhjfij-1,Macrophages
aabifjfo-1,CD8+ T cells
aabimgkb-1,CD8+ T cells
aabimnjn-1,CD8+ T cells
aabinnep-1,Macrophages
aabjaplc-1,CD4+ T cells
aabjboij-1,CD8+ T cells
aabjboki-1,CD4+ T cells
aabjgdke-1,CD8+ T cells
aabjjmlc-1,CD8+ T cells
aabjkeki-1,Macrophages
aabjkjln-1,CD8+ T cells
aabjlkmh-1,CD8+ T cells
aabjlmbg-1,CD8+ T cells
aabjnfhm-1,CD8+ T cells
aabjnicc-1,Unknown
aabjokak-1,CD8+ T cells
aabkaoao-1,CD8+ T cells
aabkccmo-1,CD8+ T cells
aabkcmll-1,CD8+ T cells
aabkfimp-1,Unknown
aabkheci-1,Unknown
aabkkeke-1,CD8+ T cells
aabklmgp-1,CD8+ T cells
aabkpalp-1,CD8+ T cells
aablagnm-1,CD4+ T cells
aablcahj-1,Macrophages
aabliaae-1,Macrophages
aablingi-1,CD8+ T cells
aablkhkm-1,CD8+ T cells
aablkkhe-1,Fibroblasts
aablmpkn-1,CD8+ T cells
aabmbjbm-1,Macrophages
aabmhdnc-1,Macrophages
aabminbg-1,Macrophages
aabmldek-1,Endothelial
aabmpfdb-1,Macrophages
aabnbfme-1,CD8+ T cells
aabnigbe-1,Unknown
aabnonpl-1,CD8+ T cells
aabnpgef-1,CD8+ T cells
aaboacmc-1,Unknown
aaboagfp-1,CD8+ T cells
aaboaocb-1,CD8+ T cells
aabobomo-1,Epithelial
