,B cells,CD4+ T cells,CD8+ T cells,Macrophages,Endothelial,Epithelial,Fibroblasts,n_cells,spot_x,spot_y
spot_69,0.1724137931034483,0.27586206896551724,0.20689655172413793,0.034482758620689655,0.0,0.034482758620689655,0.0,29,,
spot_70,0.0,0.0,0.0,0.0,0.2,0.0,0.2,5,,
spot_71,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,9,,
spot_72,0.045454545454545456,0.2727272727272727,0.13636363636363635,0.0,0.18181818181818182,0.0,0.0,22,,
spot_73,0.05555555555555555,0.1111111111111111,0.2777777777777778,0.1111111111111111,0.2222222222222222,0.0,0.05555555555555555,18,,
spot_74,0.0,0.0,0.0,0.1,0.1,0.0,0.1,10,,
spot_75,0.2,0.0,0.1,0.0,0.1,0.0,0.2,10,,
spot_76,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,12,,
spot_77,0.0,0.0,0.17647058823529413,0.5882352941176471,0.058823529411764705,0.0,0.058823529411764705,17,,
spot_78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,,
spot_79,0.0,0.2,0.05,0.05,0.15,0.05,0.0,20,,
spot_80,0.0,0.0,0.05555555555555555,0.05555555555555555,0.2777777777777778,0.05555555555555555,0.0,18,,
spot_81,0.0,0.05555555555555555,0.0,0.05555555555555555,0.2777777777777778,0.0,0.0,18,,
spot_82,0.0,0.0,0.0,0.0,0.25,0.0,0.0,12,,
spot_83,0.42857142857142855,0.11904761904761904,0.11904761904761904,0.0,0.21428571428571427,0.0,0.0,42,,
spot_84,0.25,0.0,0.0,0.125,0.375,0.0,0.0,8,,
spot_85,0.8571428571428571,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,21,,
spot_86,0.75,0.1346153846153846,0.038461538461538464,0.0,0.0,0.019230769230769232,0.0,52,,
spot_87,0.1509433962264151,0.49056603773584906,0.1320754716981132,0.018867924528301886,0.0,0.0,0.0,53,,
spot_88,0.018867924528301886,0.39622641509433965,0.2641509433962264,0.0,0.0,0.0,0.0,53,,
spot_89,0.01818181818181818,0.36363636363636365,0.41818181818181815,0.0,0.0,0.0,0.0,55,,
spot_90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60,,
spot_91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50,,
spot_183,0.08333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.0,12,,
spot_184,0.0,0.1875,0.3125,0.0625,0.125,0.0625,0.0,16,,
spot_185,0.0,0.0,0.0,0.0,0.0,0.375,0.0,8,,
spot_186,0.0,0.1,0.0,0.2,0.0,0.6,0.0,10,,
spot_187,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,12,,
spot_188,0.0,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.0,0.09523809523809523,21,,
spot_189,0.0,0.15,0.0,0.1,0.2,0.0,0.15,20,,
spot_190,0.045454545454545456,0.09090909090909091,0.2727272727272727,0.045454545454545456,0.2727272727272727,0.0,0.0,22,,
spot_191,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,11,,
spot_192,0.0,0.0,0.0625,0.0625,0.0625,0.0,0.0,16,,
