,B cells,CD4+ T cells,CD8+ T cells,Macrophages,Endothelial,Epithelial,Fibroblasts,n_cells,spot_x,spot_y
spot_92,0.1,0.0,0.03333333333333333,0.03333333333333333,0.1,0.0,0.2,30,,
spot_93,0.47619047619047616,0.0,0.023809523809523808,0.047619047619047616,0.023809523809523808,0.0,0.047619047619047616,42,,
spot_94,0.7333333333333333,0.0,0.0,0.08888888888888889,0.022222222222222223,0.0,0.044444444444444446,45,,
spot_95,0.5142857142857142,0.0,0.0,0.11428571428571428,0.14285714285714285,0.0,0.05714285714285714,35,,
spot_96,0.11538461538461539,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.0,0.0,0.11538461538461539,26,,
spot_97,0.02040816326530612,0.02040816326530612,0.7755102040816326,0.04081632653061224,0.0,0.0,0.061224489795918366,49,,
spot_98,0.0,0.0,0.07692307692307693,0.38461538461538464,0.0,0.15384615384615385,0.07692307692307693,13,,
spot_99,0.0,0.0,0.16666666666666666,0.2777777777777778,0.05555555555555555,0.05555555555555555,0.05555555555555555,18,,
spot_100,0.0,0.0,0.3157894736842105,0.2631578947368421,0.0,0.2631578947368421,0.0,19,,
spot_101,0.0,0.0,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.0,0.0,21,,
spot_102,0.0,0.0,0.125,0.1875,0.0,0.0,0.0,16,,
spot_103,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,13,,
spot_104,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,7,,
spot_206,0.7755102040816326,0.04081632653061224,0.0,0.04081632653061224,0.0,0.0,0.061224489795918366,49,,
spot_207,0.1,0.0,0.0,0.0,0.35,0.0,0.05,20,,
spot_208,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.13333333333333333,0.3,0.0,0.1,30,,
spot_209,0.6739130434782609,0.043478260869565216,0.021739130434782608,0.0,0.0,0.0,0.043478260869565216,46,,
spot_210,0.5609756097560976,0.0,0.04878048780487805,0.0975609756097561,0.024390243902439025,0.0,0.024390243902439025,41,,
spot_211,0.09523809523809523,0.047619047619047616,0.23809523809523808,0.0,0.2857142857142857,0.0,0.09523809523809523,21,,
spot_212,0.17142857142857143,0.22857142857142856,0.08571428571428572,0.08571428571428572,0.02857142857142857,0.0,0.0,35,,
spot_213,0.0,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.0,0.0,0.18181818181818182,22,,
spot_214,0.4230769230769231,0.0,0.07692307692307693,0.0,0.038461538461538464,0.0,0.07692307692307693,26,,
spot_215,0.0,0.0,0.14285714285714285,0.09523809523809523,0.0,0.047619047619047616,0.047619047619047616,21,,
spot_217,0.0,0.25,0.0,0.0,0.0,0.0,0.0,4,,
spot_321,0.4528301886792453,0.11320754716981132,0.1320754716981132,0.018867924528301886,0.0,0.0,0.05660377358490566,53,,
spot_322,0.425531914893617,0.02127659574468085,0.2765957446808511,0.0425531914893617,0.0,0.0,0.0425531914893617,47,,
spot_323,0.1875,0.0,0.0,0.0625,0.3125,0.0,0.125,16,,
spot_324,0.52,0.06,0.04,0.06,0.04,0.02,0.14,50,,
spot_325,0.1111111111111111,0.1111111111111111,0.08333333333333333,0.0,0.2222222222222222,0.0,0.05555555555555555,36,,
