,spot_idx,spot_id,spot_x,spot_y,region_id
aaaaaglh-1,-1,,,,
aaaadpem-1,-1,,,,
aaaafdfe-1,-1,,,,
aaaagljm-1,-1,,,,
aaaahdcb-1,-1,,,,
aaaajcne-1,-1,,,,
aaaalgjj-1,-1,,,,
aaaalnpm-1,-1,,,,
aaaamidn-1,-1,,,,
aaabaafl-1,-1,,,,
aaabalbf-1,-1,,,,
aaabalhc-1,3668,spot_3668,429.0092070102692,2802.151374011753,0.0
aaabeahl-1,-1,,,,
aaabfcko-1,-1,,,,
aaabhjki-1,3668,spot_3668,429.0092070102692,2802.151374011753,0.0
aaabijnd-1,-1,,,,
aaabipaf-1,-1,,,,
aaabkghh-1,-1,,,,
aaablhgp-1,-1,,,,
aaablpjg-1,-1,,,,
aaabmhdh-1,4469,spot_4469,379.0092070102692,3408.3691566608595,0.0
aaabnnna-1,-1,,,,
aaabpglg-1,-1,,,,
aaacagcb-1,4355,spot_4355,429.0092070102692,3321.766616282416,0.0
aaacebli-1,-1,,,,
aaachlkk-1,-1,,,,
aaacjipm-1,-1,,,,
aaackhbh-1,-1,,,,
aaacomjf-1,-1,,,,
aaadblle-1,-1,,,,
aaadhahj-1,-1,,,,
aaadhcmp-1,-1,,,,
aaadlhcl-1,-1,,,,
aaadmjjn-1,4011,spot_4011,379.0092070102692,3061.9589951470844,0.0
aaaebfan-1,-1,,,,
aaaecnpf-1,-1,,,,
aaaedodf-1,-1,,,,
aaaefbjj-1,4240,spot_4240,379.0092070102692,3235.164075903972,0.0
aaaeffgn-1,-1,,,,
aaaegcgd-1,4240,spot_4240,379.0092070102692,3235.164075903972,0.0
aaaehafe-1,4240,spot_4240,379.0092070102692,3235.164075903972,0.0
aaaeheim-1,4240,spot_4240,379.0092070102692,3235.164075903972,0.0
aaaekgic-1,4240,spot_4240,379.0092070102692,3235.164075903972,0.0
aaaeklfg-1,4240,spot_4240,379.0092070102692,3235.164075903972,0.0
aaaemobo-1,4240,spot_4240,379.0092070102692,3235.164075903972,0.0
aaaempdm-1,4240,spot_4240,379.0092070102692,3235.164075903972,0.0
aaaenbkl-1,-1,,,,
aaaenoak-1,-1,,,,
aaafcebf-1,-1,,,,
aaafekam-1,-1,,,,
aaaffaho-1,-1,,,,
aaaffeli-1,4354,spot_4354,329.0092070102692,3321.766616282416,0.0
aaaffkhh-1,-1,,,,
aaafgmpn-1,4354,spot_4354,329.0092070102692,3321.766616282416,0.0
aaafleep-1,-1,,,,
aaaflhba-1,-1,,,,
aaafnbkn-1,-1,,,,
aaafoikg-1,-1,,,,
aaagdgbc-1,-1,,,,
aaagkkme-1,-1,,,,
aaagnoba-1,4582,spot_4582,229.0092070102692,3494.9716970393038,0.0
aaahaekk-1,-1,,,,
aaahbheh-1,-1,,,,
aaahbhoj-1,-1,,,,
aaahcicp-1,4582,spot_4582,229.0092070102692,3494.9716970393038,0.0
aaahfooc-1,4582,spot_4582,229.0092070102692,3494.9716970393038,0.0
aaahgddh-1,4582,spot_4582,229.0092070102692,3494.9716970393038,0.0
aaahhlho-1,4582,spot_4582,229.0092070102692,3494.9716970393038,0.0
aaahniko-1,-1,,,,
aaahocmo-1,-1,,,,
aaahoead-1,-1,,,,
aaahpphg-1,-1,,,,
aaaicbad-1,-1,,,,
aaaicchp-1,-1,,,,
aaaieapl-1,-1,,,,
aaaifeoh-1,-1,,,,
aaaijmdd-1,-1,,,,
aaailmea-1,-1,,,,
aaaimdeb-1,4583,spot_4583,329.0092070102692,3494.9716970393038,0.0
aaainfcj-1,-1,,,,
aaajalli-1,-1,,,,
aaajbekm-1,-1,,,,
aaajbomm-1,4583,spot_4583,329.0092070102692,3494.9716970393038,0.0
aaajdkgm-1,-1,,,,
aaajenlh-1,4583,spot_4583,329.0092070102692,3494.9716970393038,0.0
aaajfgdm-1,-1,,,,
aaajggme-1,-1,,,,
aaajghie-1,-1,,,,
aaajneei-1,4353,spot_4353,229.0092070102692,3321.766616282416,0.0
aaajpacn-1,-1,,,,
aaakaicm-1,4468,spot_4468,279.0092070102692,3408.3691566608595,0.0
aaakaidp-1,4353,spot_4353,229.0092070102692,3321.766616282416,0.0
aaakalnl-1,-1,,,,
aaakapba-1,-1,,,,
aaakapeo-1,4469,spot_4469,379.0092070102692,3408.3691566608595,0.0
aaakbifn-1,-1,,,,
aaakboal-1,4469,spot_4469,379.0092070102692,3408.3691566608595,0.0
aaakdijd-1,4469,spot_4469,379.0092070102692,3408.3691566608595,0.0
aaakgnkp-1,4354,spot_4354,329.0092070102692,3321.766616282416,0.0
aaakhnei-1,4468,spot_4468,279.0092070102692,3408.3691566608595,0.0
aaakjboe-1,-1,,,,
aaakpffc-1,-1,,,,
aaalbaan-1,-1,,,,
aaalcbhj-1,-1,,,,
aaalcooa-1,4354,spot_4354,329.0092070102692,3321.766616282416,0.0
aaalenei-1,4354,spot_4354,329.0092070102692,3321.766616282416,0.0
aaalephl-1,-1,,,,
aaalibnp-1,4354,spot_4354,329.0092070102692,3321.766616282416,0.0
aaalklff-1,-1,,,,
aaalknni-1,-1,,,,
aaalmcmm-1,3666,spot_3666,229.0092070102692,2802.151374011753,0.0
aaamfjeg-1,-1,,,,
aaamgbcd-1,-1,,,,
aaamjnpo-1,-1,,,,
aaamkjpp-1,3781,spot_3781,279.0092070102692,2888.7539143901968,0.0
aaammmoe-1,-1,,,,
aaamnlim-1,3667,spot_3667,329.0092070102692,2802.151374011753,0.0
aaampdlo-1,-1,,,,
aaanbpfa-1,-1,,,,
aaancmhn-1,3667,spot_3667,329.0092070102692,2802.151374011753,0.0
aaandmnm-1,4125,spot_4125,329.0092070102692,3148.561535525528,0.0
aaandpjk-1,-1,,,,
aaanepeb-1,4125,spot_4125,329.0092070102692,3148.561535525528,0.0
aaanfhbb-1,-1,,,,
aaanhake-1,4240,spot_4240,379.0092070102692,3235.164075903972,0.0
aaanhhan-1,-1,,,,
aaanhlaj-1,-1,,,,
aaanimgh-1,-1,,,,
aaanljpj-1,-1,,,,
aaanmelb-1,4239,spot_4239,279.0092070102692,3235.164075903972,0.0
aaanmjhe-1,4239,spot_4239,279.0092070102692,3235.164075903972,0.0
aaanmojg-1,-1,,,,
aaanognl-1,-1,,,,
aaaoaeip-1,-1,,,,
aaaoeddb-1,-1,,,,
aaaofjnh-1,-1,,,,
aaaojjhc-1,-1,,,,
aaaojmaa-1,-1,,,,
aaaoloen-1,-1,,,,
aaaomhih-1,-1,,,,
aaaommgg-1,-1,,,,
aaaoobdd-1,-1,,,,
aaapalia-1,-1,,,,
aaapbamo-1,4010,spot_4010,279.0092070102692,3061.9589951470844,0.0
aaapcnle-1,4010,spot_4010,279.0092070102692,3061.9589951470844,0.0
aaapdodf-1,4010,spot_4010,279.0092070102692,3061.9589951470844,0.0
aaapeeap-1,-1,,,,
aaapidhd-1,-1,,,,
aaapjgoa-1,4124,spot_4124,229.0092070102692,3148.561535525528,0.0
aaapjlek-1,4124,spot_4124,229.0092070102692,3148.561535525528,0.0
aaapmhho-1,4124,spot_4124,229.0092070102692,3148.561535525528,0.0
aaapmnmn-1,4010,spot_4010,279.0092070102692,3061.9589951470844,0.0
aaappnpb-1,4010,spot_4010,279.0092070102692,3061.9589951470844,0.0
aabaadec-1,-1,,,,
aabaagij-1,3896,spot_3896,329.0092070102692,2975.356454768641,0.0
aabaccai-1,4011,spot_4011,379.0092070102692,3061.9589951470844,0.0
aabacfbn-1,-1,,,,
aabadbpj-1,-1,,,,
aabaeokb-1,3782,spot_3782,379.0092070102692,2888.7539143901968,0.0
aabakbbo-1,-1,,,,
aabamnpn-1,-1,,,,
aabamofi-1,-1,,,,
aabaofnd-1,-1,,,,
aabbbdii-1,-1,,,,
aabbeckb-1,-1,,,,
aabbeejc-1,-1,,,,
aabbighe-1,3896,spot_3896,329.0092070102692,2975.356454768641,0.0
aabblgad-1,5498,spot_5498,229.0092070102692,4187.792020066854,0.0
aabbpjmh-1,-1,,,,
aabcanog-1,5498,spot_5498,229.0092070102692,4187.792020066854,0.0
aabcenen-1,-1,,,,
aabcflcc-1,-1,,,,
aabcghlk-1,-1,,,,
aabchccm-1,-1,,,,
aabcnbfn-1,-1,,,,
aabcnpcd-1,-1,,,,
aabcodke-1,-1,,,,
aabcpbgn-1,-1,,,,
aabdaegd-1,5499,spot_5499,329.0092070102692,4187.792020066854,0.0
aabdafnm-1,-1,,,,
aabdegba-1,-1,,,,
aabdijkp-1,-1,,,,
aabdkego-1,-1,,,,
aabdlcgj-1,-1,,,,
aabdpool-1,-1,,,,
aabempgk-1,-1,,,,
aabfcdpb-1,-1,,,,
aabfdanm-1,-1,,,,
aabfddje-1,-1,,,,
aabfkkap-1,-1,,,,
aabfmhcj-1,-1,,,,
aabfoclf-1,5614,spot_5614,379.0092070102692,4274.394560445298,0.0
aabfpfnh-1,-1,,,,
aabfpolh-1,-1,,,,
aabgainn-1,5499,spot_5499,329.0092070102692,4187.792020066854,0.0
aabgclpg-1,-1,,,,
aabgdiad-1,-1,,,,
aabgecof-1,5499,spot_5499,329.0092070102692,4187.792020066854,0.0
aabgkkdo-1,5499,spot_5499,329.0092070102692,4187.792020066854,0.0
aabgpkmj-1,-1,,,,
aabhafdh-1,-1,,,,
aabhbfbd-1,-1,,,,
aabhdbak-1,-1,,,,
aabhembo-1,5613,spot_5613,279.0092070102692,4274.394560445298,0.0
aabhhhnh-1,5613,spot_5613,279.0092070102692,4274.394560445298,0.0
aabhicim-1,5613,spot_5613,279.0092070102692,4274.394560445298,0.0
aabhijkp-1,-1,,,,
aabhjfij-1,-1,,,,
aabifjfo-1,-1,,,,
aabimgkb-1,-1,,,,
aabimnjn-1,-1,,,,
aabinnep-1,-1,,,,
aabjaplc-1,-1,,,,
aabjboij-1,5613,spot_5613,279.0092070102692,4274.394560445298,0.0
aabjboki-1,-1,,,,
aabjgdke-1,-1,,,,
aabjjmlc-1,-1,,,,
aabjkeki-1,5613,spot_5613,279.0092070102692,4274.394560445298,0.0
aabjkjln-1,-1,,,,
aabjlkmh-1,-1,,,,
aabjlmbg-1,-1,,,,
aabjnfhm-1,-1,,,,
aabjnicc-1,-1,,,,
aabjokak-1,-1,,,,
aabkaoao-1,5269,spot_5269,229.0092070102692,4014.586939309966,0.0
aabkccmo-1,5269,spot_5269,229.0092070102692,4014.586939309966,0.0
aabkcmll-1,-1,,,,
aabkfimp-1,-1,,,,
aabkheci-1,-1,,,,
aabkkeke-1,-1,,,,
aabklmgp-1,-1,,,,
aabkpalp-1,5269,spot_5269,229.0092070102692,4014.586939309966,0.0
aablagnm-1,-1,,,,
aablcahj-1,-1,,,,
aabliaae-1,5384,spot_5384,279.0092070102692,4101.18947968841,0.0
aablingi-1,-1,,,,
aablkhkm-1,5384,spot_5384,279.0092070102692,4101.18947968841,0.0
aablkkhe-1,5384,spot_5384,279.0092070102692,4101.18947968841,0.0
aablmpkn-1,5384,spot_5384,279.0092070102692,4101.18947968841,0.0
aabmbjbm-1,-1,,,,
aabmhdnc-1,5498,spot_5498,229.0092070102692,4187.792020066854,0.0
aabminbg-1,5498,spot_5498,229.0092070102692,4187.792020066854,0.0
aabmldek-1,5498,spot_5498,229.0092070102692,4187.792020066854,0.0
aabmpfdb-1,-1,,,,
aabnbfme-1,-1,,,,
aabnigbe-1,-1,,,,
aabnonpl-1,-1,,,,
aabnpgef-1,-1,,,,
aaboacmc-1,-1,,,,
aaboagfp-1,-1,,,,
aaboaocb-1,5499,spot_5499,329.0092070102692,4187.792020066854,0.0
aabobomo-1,5499,spot_5499,329.0092070102692,4187.792020066854,0.0
aabodgja-1,-1,,,,
aabomdfl-1,5499,spot_5499,329.0092070102692,4187.792020066854,0.0
aabooapf-1,5499,spot_5499,329.0092070102692,4187.792020066854,0.0
aabpaaea-1,5499,spot_5499,329.0092070102692,4187.792020066854,0.0
aabpbamg-1,-1,,,,
aabpbbfe-1,-1,,,,
aabpejep-1,-1,,,,
aabpjcpo-1,-1,,,,
aabpklbl-1,-1,,,,
aabpkoac-1,5270,spot_5270,329.0092070102692,4014.586939309966,0.0
aabpmhim-1,-1,,,,
aabpoanh-1,-1,,,,
aacafmbe-1,5384,spot_5384,279.0092070102692,4101.18947968841,0.0
aacahkjj-1,5384,spot_5384,279.0092070102692,4101.18947968841,0.0
aacaigda-1,-1,,,,
aacajlge-1,-1,,,,
aacalidh-1,5270,spot_5270,329.0092070102692,4014.586939309966,0.0
aacbfblg-1,-1,,,,
aacbflpj-1,-1,,,,
aacbjbbg-1,-1,,,,
aacbjjoi-1,5270,spot_5270,329.0092070102692,4014.586939309966,0.0
aacbmdjm-1,-1,,,,
aacbnopm-1,-1,,,,
aaccalho-1,-1,,,,
aaccbohg-1,-1,,,,
aaccemoe-1,-1,,,,
aaccfcli-1,-1,,,,
aaccgabl-1,-1,,,,
aaccihij-1,-1,,,,
aaccolpg-1,-1,,,,
aaccpdgj-1,-1,,,,
aacdbdpo-1,-1,,,,
aacddkhd-1,-1,,,,
aacdeakj-1,-1,,,,
aacdfped-1,-1,,,,
aacdnben-1,-1,,,,
aacdojde-1,-1,,,,
aacebheb-1,-1,,,,
aaceclnh-1,-1,,,,
aacefhmk-1,5040,spot_5040,229.0092070102692,3841.3818585530794,0.0
aacegpil-1,-1,,,,
aacehnfc-1,5040,spot_5040,229.0092070102692,3841.3818585530794,0.0
aacejpcg-1,5040,spot_5040,229.0092070102692,3841.3818585530794,0.0
aacfbcia-1,-1,,,,
aacfedcg-1,-1,,,,
aacffkaf-1,-1,,,,
aacfhlli-1,-1,,,,
aacflnch-1,5156,spot_5156,379.0092070102692,3927.984398931522,0.0
aacfnneo-1,-1,,,,
aacgcicd-1,-1,,,,
aacgdjjd-1,-1,,,,
aacgdkep-1,-1,,,,
aacgggei-1,-1,,,,
aacgkpjd-1,-1,,,,
aacgljoc-1,-1,,,,
aacgmmho-1,-1,,,,
aacgnhmo-1,-1,,,,
aachdjda-1,-1,,,,
aachdllj-1,-1,,,,
aachiplh-1,-1,,,,
aachjpja-1,-1,,,,
aachmbid-1,5269,spot_5269,229.0092070102692,4014.586939309966,0.0
aachoaec-1,-1,,,,
aachokdk-1,-1,,,,
aachpiad-1,-1,,,,
aaciaeam-1,-1,,,,
aaciafec-1,-1,,,,
aacialam-1,-1,,,,
aacibdhb-1,-1,,,,
aacifcbe-1,-1,,,,
aacifmhp-1,-1,,,,
aaciggjc-1,5041,spot_5041,329.0092070102692,3841.3818585530794,0.0
aacihjae-1,-1,,,,
aaciijpp-1,-1,,,,
aacijjdl-1,-1,,,,
aacikipm-1,-1,,,,
aacimkmn-1,5041,spot_5041,329.0092070102692,3841.3818585530794,0.0
aacinmkb-1,-1,,,,
aacipkjl-1,-1,,,,
aacjbabj-1,5041,spot_5041,329.0092070102692,3841.3818585530794,0.0
aacjbahi-1,-1,,,,
aacjdhjp-1,4698,spot_4698,379.0092070102692,3581.574237417747,0.0
aacjfpcn-1,-1,,,,
aacjhkdi-1,-1,,,,
aacjijkm-1,-1,,,,
aacjkdjk-1,-1,,,,
aacjknli-1,-1,,,,
aacjmebj-1,4927,spot_4927,379.0092070102692,3754.779318174634,0.0
aacjmnkn-1,4927,spot_4927,379.0092070102692,3754.779318174634,0.0
aacjnbjc-1,4927,spot_4927,379.0092070102692,3754.779318174634,0.0
aacjneie-1,4927,spot_4927,379.0092070102692,3754.779318174634,0.0
aackcdcj-1,-1,,,,
aackcell-1,-1,,,,
aackjnpj-1,-1,,,,
aackpfbi-1,-1,,,,
aaclbpmo-1,-1,,,,
aacldeai-1,-1,,,,
aaclglnh-1,-1,,,,
aacljdig-1,-1,,,,
aacllejc-1,5385,spot_5385,379.0092070102692,4101.18947968841,0.0
aaclmpag-1,5385,spot_5385,379.0092070102692,4101.18947968841,0.0
aaclndgm-1,5385,spot_5385,379.0092070102692,4101.18947968841,0.0
aaclnfjl-1,-1,,,,
aaclnhef-1,-1,,,,
aacloidh-1,-1,,,,
aaclphna-1,-1,,,,
aaclpnkb-1,-1,,,,
aacmhifn-1,-1,,,,
aacmjhmg-1,-1,,,,
aacnbjkk-1,5156,spot_5156,379.0092070102692,3927.984398931522,0.0
aacncijm-1,-1,,,,
aacnfncb-1,-1,,,,
aacngpgb-1,-1,,,,
aacnhifa-1,-1,,,,
aacnhllm-1,-1,,,,
aacnhnab-1,-1,,,,
aacnoolj-1,-1,,,,
aacoaifi-1,-1,,,,
aacofjgj-1,-1,,,,
aacohkff-1,-1,,,,
aacoical-1,-1,,,,
aacojpil-1,-1,,,,
aacolmfc-1,-1,,,,
aacolmjb-1,-1,,,,
aaconoii-1,-1,,,,
aacpckob-1,-1,,,,
aacpfhfe-1,-1,,,,
aacpfhio-1,-1,,,,
aacphggj-1,-1,,,,
aacpiofe-1,-1,,,,
aacpkbdk-1,-1,,,,
aacpphlj-1,-1,,,,
aacppkim-1,-1,,,,
aacppmhm-1,5728,spot_5728,329.0092070102692,4360.997100823743,0.0
aadabmmb-1,5728,spot_5728,329.0092070102692,4360.997100823743,0.0
aadacnoe-1,-1,,,,
aadadfbp-1,-1,,,,
aadadpgm-1,-1,,,,
aadahemc-1,-1,,,,
aadajnbd-1,-1,,,,
aadamghj-1,-1,,,,
aadangap-1,-1,,,,
aadbacoo-1,5728,spot_5728,329.0092070102692,4360.997100823743,0.0
aadbajkf-1,5728,spot_5728,329.0092070102692,4360.997100823743,0.0
aadbapnb-1,5728,spot_5728,329.0092070102692,4360.997100823743,0.0
aadbbkel-1,-1,,,,
aadbglhf-1,-1,,,,
aadbjopa-1,5728,spot_5728,329.0092070102692,4360.997100823743,0.0
aadblgdf-1,5728,spot_5728,329.0092070102692,4360.997100823743,0.0
aadbnfne-1,5728,spot_5728,329.0092070102692,4360.997100823743,0.0
aadbolfh-1,5728,spot_5728,329.0092070102692,4360.997100823743,0.0
aadcblpi-1,5728,spot_5728,329.0092070102692,4360.997100823743,0.0
aadcdlpa-1,5728,spot_5728,329.0092070102692,4360.997100823743,0.0
aadceeic-1,-1,,,,
aadcggil-1,5728,spot_5728,329.0092070102692,4360.997100823743,0.0
aadcgibn-1,5728,spot_5728,329.0092070102692,4360.997100823743,0.0
