cell_id,cell_type
aaaaaglh-1,Macrophages
aaaadpem-1,T cells
aaaafdfe-1,T cells
aaaagljm-1,Epithelial
aaaahdcb-1,Macrophages
aaaajcne-1,Macrophages
aaaalgjj-1,Macrophages
aaaalnpm-1,Macrophages
aaaamidn-1,Macrophages
aaabaafl-1,Macrophages
aaabalhc-1,T cells
aaabeahl-1,Endothelial
aaabfcko-1,Macrophages
aaabhjki-1,Macrophages
aaabijnd-1,Epithelial
aaabipaf-1,T cells
aaabkghh-1,T cells
aaablhgp-1,Endothelial
aaablpjg-1,Macrophages
aaabmhdh-1,Fibroblasts
aaabnnna-1,T cells
aaabpglg-1,Epithelial
aaacagcb-1,Macrophages
aaacebli-1,T cells
aaachlkk-1,T cells
aaacjipm-1,Epithelial
aaackhbh-1,Macrophages
aaacomjf-1,T cells
aaadblle-1,T cells
aaadhahj-1,Macrophages
aaadhcmp-1,Macrophages
aaadlhcl-1,Fibroblasts
aaadmjjn-1,T cells
aaaebfan-1,Fibroblasts
aaaecnpf-1,Macrophages
aaaedodf-1,Macrophages
aaaefbjj-1,Fibroblasts
aaaeffgn-1,Macrophages
aaaegcgd-1,T cells
aaaehafe-1,Macrophages
aaaeheim-1,T cells
aaaekgic-1,T cells
aaaeklfg-1,Macrophages
aaaemobo-1,Macrophages
aaaempdm-1,T cells
aaaenbkl-1,Macrophages
aaaenoak-1,Macrophages
aaafcebf-1,Fibroblasts
aaafekam-1,Macrophages
aaaffaho-1,Macrophages
aaaffeli-1,Macrophages
aaaffkhh-1,Endothelial
aaafgmpn-1,Macrophages
aaafleep-1,Macrophages
aaaflhba-1,Macrophages
aaafnbkn-1,T cells
aaafoikg-1,Macrophages
aaagdgbc-1,T cells
aaagkkme-1,Macrophages
aaagnoba-1,T cells
aaahaekk-1,T cells
aaahbheh-1,T cells
aaahbhoj-1,Macrophages
aaahcicp-1,Fibroblasts
aaahfooc-1,T cells
aaahgddh-1,T cells
aaahhlho-1,Fibroblasts
aaahniko-1,Macrophages
aaahocmo-1,Macrophages
aaahoead-1,T cells
aaahpphg-1,T cells
aaaicbad-1,Macrophages
aaaicchp-1,Macrophages
aaaieapl-1,T cells
aaaifeoh-1,Macrophages
aaaijmdd-1,Macrophages
aaailmea-1,Macrophages
aaaimdeb-1,Macrophages
aaainfcj-1,Macrophages
aaajalli-1,T cells
aaajbekm-1,Macrophages
aaajbomm-1,Macrophages
aaajdkgm-1,Macrophages
aaajenlh-1,Epithelial
aaajfgdm-1,Macrophages
aaajggme-1,Macrophages
