,B cells,T cells,Macrophages,Endothelial,Epithelial,Fibroblasts,n_cells,spot_x,spot_y
spot_11,0.0,0.25,0.125,0.125,0.0,0.5,8,1129.0092070102692,30.870081901550293
spot_12,0.0,0.2727272727272727,0.18181818181818182,0.3181818181818182,0.0,0.22727272727272727,22,1229.0092070102692,30.870081901550293
spot_13,0.0,0.10344827586206896,0.3793103448275862,0.2413793103448276,0.0,0.27586206896551724,29,1329.0092070102692,30.870081901550293
spot_14,0.0,0.2413793103448276,0.10344827586206896,0.4482758620689655,0.0,0.20689655172413793,29,1429.0092070102692,30.870081901550293
spot_15,0.12121212121212122,0.15151515151515152,0.30303030303030304,0.36363636363636365,0.0,0.06060606060606061,33,1529.0092070102692,30.870081901550293
spot_16,0.1702127659574468,0.5531914893617021,0.2553191489361702,0.0,0.0,0.02127659574468085,47,1629.0092070102692,30.870081901550293
spot_17,0.03508771929824561,0.5964912280701754,0.3157894736842105,0.0,0.0,0.05263157894736842,57,1729.0092070102692,30.870081901550293
spot_18,0.03571428571428571,0.7142857142857143,0.16071428571428573,0.017857142857142856,0.0,0.07142857142857142,56,1829.0092070102692,30.870081901550293
spot_19,0.17073170731707318,0.2682926829268293,0.2926829268292683,0.1951219512195122,0.0,0.07317073170731707,41,1929.0092070102692,30.870081901550293
spot_20,0.4722222222222222,0.0,0.25,0.1388888888888889,0.0,0.1388888888888889,36,2029.0092070102692,30.870081901550293
spot_21,0.15151515151515152,0.15151515151515152,0.12121212121212122,0.18181818181818182,0.0,0.3939393939393939,33,2129.009207010269,30.870081901550293
spot_22,0.037037037037037035,0.3333333333333333,0.37037037037037035,0.07407407407407407,0.0,0.18518518518518517,27,2229.009207010269,30.870081901550293
spot_120,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,3,579.0092070102692,117.47262227999416
spot_121,0.0,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,6,679.0092070102692,117.47262227999416
spot_122,0.0,0.0,0.35714285714285715,0.35714285714285715,0.0,0.2857142857142857,14,779.0092070102692,117.47262227999416
