sample_id,title,cell_line,esr1_status,treatment
GSM2392582,T47D-veh-WT-rep1,,Wild type,Vehicle
GSM2392583,T47D-veh-WT-rep2,,Wild type,Vehicle
GSM2392584,T47D-veh-WT-rep3,,Wild type,Vehicle
GSM2392585,T47D-veh-WT-rep4,,Wild type,Vehicle
GSM2392586,T47D-veh-Y537S-rep1,,Y537S,Vehicle
GSM2392587,T47D-veh-Y537S-rep2,,Y537S,Vehicle
GSM2392588,T47D-veh-Y537S-rep3,,Y537S,Vehicle
GSM2392589,T47D-veh-Y537S-rep4,,Y537S,Vehicle
GSM2392590,T47D-veh-D538G-rep1,,D538G,Vehicle
GSM2392591,T47D-veh-D538G-rep2,,D538G,Vehicle
GSM2392592,T47D-veh-D538G-rep3,,D538G,Vehicle
GSM2392593,T47D-veh-D538G-rep4,,D538G,Vehicle
GSM2392594,T47D-E2-WT-rep1,,Wild type,Estrogen
GSM2392595,T47D-E2-WT-rep2,,Wild type,Estrogen
GSM2392596,T47D-E2-WT-rep3,,Wild type,Estrogen
GSM2392597,T47D-E2-WT-rep4,,Wild type,Estrogen
GSM2392598,T47D-E2-Y537S-rep1,,Y537S,Estrogen
GSM2392599,T47D-E2-Y537S-rep2,,Y537S,Estrogen
GSM2392600,T47D-E2-Y537S-rep3,,Y537S,Estrogen
GSM2392601,T47D-E2-Y537S-rep4,,Y537S,Estrogen
GSM2392602,T47D-E2-D538G-rep1,,D538G,Estrogen
GSM2392603,T47D-E2-D538G-rep2,,D538G,Estrogen
GSM2392604,T47D-E2-D538G-rep3,,D538G,Estrogen
GSM2392605,T47D-E2-D538G-rep4,,D538G,Estrogen
GSM2392606,MCF7-veh-WT-rep1,,Wild type,Vehicle
GSM2392607,MCF7-veh-WT-rep2,,Wild type,Vehicle
GSM2392608,MCF7-veh-WT-rep3,,Wild type,Vehicle
GSM2392609,MCF7-veh-WT-rep4,,Wild type,Vehicle
GSM2392610,MCF7-veh-Y537S-rep1,,Y537S,Vehicle
GSM2392611,MCF7-veh-Y537S-rep2,,Y537S,Vehicle
GSM2392612,MCF7-veh-Y537S-rep3,,Y537S,Vehicle
GSM2392613,MCF7-veh-Y537S-rep4,,Y537S,Vehicle
GSM2392614,MCF7-veh-D538G-rep1,,D538G,Vehicle
GSM2392615,MCF7-veh-D538G-rep2,,D538G,Vehicle
GSM2392616,MCF7-veh-D538G-rep3,,D538G,Vehicle
GSM2392617,MCF7-veh-D538G-rep4,,D538G,Vehicle
GSM2392618,MCF7-E2-WT-rep1,,Wild type,Estrogen
GSM2392619,MCF7-E2-WT-rep2,,Wild type,Estrogen
GSM2392620,MCF7-E2-WT-rep3,,Wild type,Estrogen
GSM2392621,MCF7-E2-WT-rep4,,Wild type,Estrogen
GSM2392622,MCF7-E2-Y537S-rep1,,Y537S,Estrogen
GSM2392623,MCF7-E2-Y537S-rep2,,Y537S,Estrogen
GSM2392624,MCF7-E2-Y537S-rep3,,Y537S,Estrogen
GSM2392625,MCF7-E2-Y537S-rep4,,Y537S,Estrogen
GSM2392626,MCF7-E2-D538G-rep1,,D538G,Estrogen
GSM2392627,MCF7-E2-D538G-rep2,,D538G,Estrogen
GSM2392628,MCF7-E2-D538G-rep3,,D538G,Estrogen
GSM2392629,MCF7-E2-D538G-rep4,,D538G,Estrogen
