sample_id,title,cell_line,genotype,treatment
GSM2392582,T47D-veh-WT-rep1,T47D,WT,veh
GSM2392583,T47D-veh-WT-rep2,T47D,WT,veh
GSM2392584,T47D-veh-WT-rep3,T47D,WT,veh
GSM2392585,T47D-veh-WT-rep4,T47D,WT,veh
GSM2392586,T47D-veh-Y537S-rep1,T47D,Y537S,veh
GSM2392587,T47D-veh-Y537S-rep2,T47D,Y537S,veh
GSM2392588,T47D-veh-Y537S-rep3,T47D,Y537S,veh
GSM2392589,T47D-veh-Y537S-rep4,T47D,Y537S,veh
GSM2392590,T47D-veh-D538G-rep1,T47D,D538G,veh
GSM2392591,T47D-veh-D538G-rep2,T47D,D538G,veh
GSM2392592,T47D-veh-D538G-rep3,T47D,D538G,veh
GSM2392593,T47D-veh-D538G-rep4,T47D,D538G,veh
GSM2392594,T47D-E2-WT-rep1,T47D,WT,E2
GSM2392595,T47D-E2-WT-rep2,T47D,WT,E2
GSM2392596,T47D-E2-WT-rep3,T47D,WT,E2
GSM2392597,T47D-E2-WT-rep4,T47D,WT,E2
GSM2392598,T47D-E2-Y537S-rep1,T47D,Y537S,E2
GSM2392599,T47D-E2-Y537S-rep2,T47D,Y537S,E2
GSM2392600,T47D-E2-Y537S-rep3,T47D,Y537S,E2
GSM2392601,T47D-E2-Y537S-rep4,T47D,Y537S,E2
GSM2392602,T47D-E2-D538G-rep1,T47D,D538G,E2
GSM2392603,T47D-E2-D538G-rep2,T47D,D538G,E2
GSM2392604,T47D-E2-D538G-rep3,T47D,D538G,E2
GSM2392605,T47D-E2-D538G-rep4,T47D,D538G,E2
GSM2392606,MCF7-veh-WT-rep1,MCF7,WT,veh
GSM2392607,MCF7-veh-WT-rep2,MCF7,WT,veh
GSM2392608,MCF7-veh-WT-rep3,MCF7,WT,veh
GSM2392609,MCF7-veh-WT-rep4,MCF7,WT,veh
GSM2392610,MCF7-veh-Y537S-rep1,MCF7,Y537S,veh
GSM2392611,MCF7-veh-Y537S-rep2,MCF7,Y537S,veh
GSM2392612,MCF7-veh-Y537S-rep3,MCF7,Y537S,veh
GSM2392613,MCF7-veh-Y537S-rep4,MCF7,Y537S,veh
GSM2392614,MCF7-veh-D538G-rep1,MCF7,D538G,veh
GSM2392615,MCF7-veh-D538G-rep2,MCF7,D538G,veh
GSM2392616,MCF7-veh-D538G-rep3,MCF7,D538G,veh
GSM2392617,MCF7-veh-D538G-rep4,MCF7,D538G,veh
GSM2392618,MCF7-E2-WT-rep1,MCF7,WT,E2
GSM2392619,MCF7-E2-WT-rep2,MCF7,WT,E2
GSM2392620,MCF7-E2-WT-rep3,MCF7,WT,E2
GSM2392621,MCF7-E2-WT-rep4,MCF7,WT,E2
GSM2392622,MCF7-E2-Y537S-rep1,MCF7,Y537S,E2
GSM2392623,MCF7-E2-Y537S-rep2,MCF7,Y537S,E2
GSM2392624,MCF7-E2-Y537S-rep3,MCF7,Y537S,E2
GSM2392625,MCF7-E2-Y537S-rep4,MCF7,Y537S,E2
GSM2392626,MCF7-E2-D538G-rep1,MCF7,D538G,E2
GSM2392627,MCF7-E2-D538G-rep2,MCF7,D538G,E2
GSM2392628,MCF7-E2-D538G-rep3,MCF7,D538G,E2
GSM2392629,MCF7-E2-D538G-rep4,MCF7,D538G,E2
