Gene,MCF7_WT_E2_peaks,MCF7_WT_E2_score,MCF7_D538G_E2_peaks,MCF7_D538G_E2_score,T47D_WT_E2_peaks,T47D_WT_E2_score,T47D_D538G_E2_peaks,T47D_D538G_E2_score,MCF7_D538G_vs_WT,T47D_D538G_vs_WT,Interaction
XBP1,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
HSP90B1,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
HSPA5,0,0.0,0,0.0,1,123.09,2,607.66,0.0,484.56999999999994,-484.56999999999994
NCL,1,1181.6,1,207.74,0,0.0,1,391.39,-973.8599999999999,391.39,-1365.25
SEC61B,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
ATF6,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
DDIT3,1,331.85,1,65.81,1,70.65,1,190.64,-266.04,119.98999999999998,-386.03
MDK,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
TFF1,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
GREB1,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
PGR,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
FOS,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
MUC1,3,2714.89,6,303.22,0,0.0,4,1338.95,-2411.67,1338.95,-3750.62
FOXA1,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
GATA3,1,52.85,0,0.0,0,0.0,0,0.0,-52.85,0.0,-52.85
