Gene,MCF7_WT_E2_n,MCF7_WT_E2_score,MCF7_D538G_E2_n,MCF7_D538G_E2_score,T47D_WT_E2_n,T47D_WT_E2_score,T47D_D538G_E2_n,T47D_D538G_E2_score,MCF7_WT_Veh_n,MCF7_WT_Veh_score,MCF7_D538G_Veh_n,MCF7_D538G_Veh_score,T47D_WT_Veh_n,T47D_WT_Veh_score,T47D_D538G_Veh_n,T47D_D538G_Veh_score
HSP90B1,1,125.85,0,0.0,0,0.0,1,302.54,0,0,0,0.0,0,0.0,0,0.0
HSPA5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0
CALR,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0
CANX,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0
PDIA4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0
XBP1,1,76.94,1,60.93,0,0.0,3,472.74,0,0,0,0.0,0,0.0,0,0.0
ATF6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0
ATF4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0
ATF3,1,85.48,0,0.0,1,53.1,1,579.68,0,0,0,0.0,0,0.0,0,0.0
DDIT3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0
ERN1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0
ESR1,2,446.4,2,238.58,1,72.87,3,536.17,0,0,2,98.5,0,0.0,0,0.0
GATA3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0
FOXA1,1,166.89,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0
PGR,1,1269.99,1,589.5,1,840.04,1,3100.0,0,0,1,58.65,1,89.92,1,289.49
TFF1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0
GREB1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0
MDK,2,342.93,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0
