gene,MCF7_WT_E2_bind,MCF7_D538G_E2_bind,T47D_WT_E2_bind,T47D_D538G_E2_bind,MCF7_WT_expr,MCF7_D538G_expr,T47D_WT_expr,T47D_D538G_expr,MCF7_bind_Δ,T47D_bind_Δ,MCF7_fc,T47D_fc,MCF7_expr_Δ,T47D_expr_Δ
HSP90B1,125.85,0.0,0.0,302.54,375.325,589.7,1063.65,728.1250000000001,-125.85,302.54,1.5710195112206167,0.6845828437132786,214.37500000000006,-335.525
HSPA5,0.0,0.0,0.0,0.0,60.50999999999999,96.485,266.825,205.92499999999998,0.0,0.0,1.5935489193202443,0.7718460241640909,35.97500000000001,-60.900000000000006
CALR,0.0,0.0,0.0,0.0,683.45,894.25,1256.25,1217.75,0.0,0.0,1.3083900226757368,0.9693556731802444,210.79999999999995,-38.5
CANX,0.0,0.0,0.0,0.0,382.22499999999997,577.3,458.22499999999997,447.4,0.0,0.0,1.51023344013601,0.9763813887525228,195.075,-10.824999999999989
PDIA4,0.0,0.0,0.0,0.0,128.475,209.925,155.35,134.2,0.0,0.0,1.633482403266576,0.8639433901576069,81.45000000000002,-21.150000000000006
PDIA6,0.0,0.0,0.0,0.0,112.10000000000001,176.52500000000003,89.35,94.3325,0.0,0.0,1.574197860962567,1.0557015092230297,64.42500000000003,4.982500000000002
XBP1,76.94,60.93,0.0,472.74,584.8,743.1750000000001,1186.5,1256.5,-16.009999999999998,472.74,1.2707727816720809,1.0589920782066409,158.3750000000001,70.0
ATF6,0.0,0.0,0.0,0.0,10.2265,12.307500000000001,29.52,23.8425,0.0,0.0,1.2015203602382223,0.8083220796758948,2.0810000000000013,-5.677499999999998
ATF4,0.0,0.0,0.0,0.0,54.5475,54.545,54.845,53.6825,0.0,0.0,0.9999542522530765,0.9788424788424788,-0.0024999999999977263,-1.1625000000000014
DDIT3,0.0,0.0,0.0,0.0,17.572499999999998,19.5475,58.39000000000001,39.185,0.0,0.0,1.1117555524119396,0.6716532740639425,1.9750000000000014,-19.205000000000005
ATF3,85.48,0.0,53.1,579.68,1.64,2.001,7.9575,7.632499999999999,-85.48,526.5799999999999,1.207471264367816,0.9596649084703692,0.361,-0.3250000000000002
HSF1,0.0,0.0,0.0,0.0,48.24250000000001,46.505,57.5675,61.0425,0.0,0.0,0.9640585406216061,1.060259244808601,-1.7375000000000043,3.4749999999999943
NFE2L2,0.0,0.0,0.0,0.0,24.585,30.122500000000002,29.5225,26.425,0.0,0.0,1.224326514077375,0.8954342138577095,5.537500000000001,-3.0975
CREB3L2,278.01,99.45,0.0,0.0,1.8567500000000001,1.23575,7.837,5.01825,-178.56,0.0,0.6826370256803372,0.64485951870984,-0.6210000000000002,-2.8187499999999996
ESR1,446.4,238.58,72.87,536.17,58.822500000000005,41.9,12.837500000000002,17.9975,-207.81999999999996,463.29999999999995,0.7128007128007128,1.3988405797101446,-16.922500000000007,5.159999999999997
GATA3,0.0,0.0,0.0,0.0,133.04999999999998,82.5475,123.55,113.3,0.0,0.0,0.6207097258730755,0.917104731095835,-50.50249999999998,-10.25
FOXA1,166.89,0.0,0.0,0.0,96.67500000000001,86.6425,170.625,155.45,-166.89,0.0,0.8963316972358563,0.9111143652072045,-10.032500000000013,-15.175000000000011
PGR,1269.99,589.5,840.04,3100.0,0.127825,4.5975,19.0125,19.525,-680.49,2259.96,20.618896082519477,1.026814911706998,4.4696750000000005,0.5124999999999993
TFF1,0.0,0.0,0.0,0.0,730.225,1707.75,0.879575,5.19125,0.0,0.0,2.3384794440831134,5.401577214608376,977.525,4.311675
GREB1,0.0,0.0,0.0,0.0,5.6122499999999995,63.142500000000005,7.8759999999999994,13.47,0.0,0.0,11.071381679723403,1.70135406218656,57.53025000000001,5.594000000000001
MYC,0.0,0.0,0.0,0.0,44.6975,74.6125,7.632000000000001,14.015,0.0,0.0,1.6677828003794852,1.8255302638385928,29.915,6.383
MDK,342.93,0.0,0.0,0.0,158.875,116.7,22.4825,31.325000000000003,-342.93,0.0,0.7347067148922787,1.3915642643639987,-42.175,8.842500000000001
