gene,MCF7_wt_mean,MCF7_mut_mean,MCF7_fc,MCF7_diff,MCF7_pval,T47D_wt_mean,T47D_mut_mean,T47D_fc,T47D_diff,T47D_pval,interaction,interaction_fc
TFF1,730.225,1707.75,2.3384794440831134,977.525,4.911854541545508e-06,0.879575,5.19125,5.401577214608376,4.311675,0.003550506625222936,973.2133249999999,0.432925301476535
AZGP1,0.7017,0.32495,0.5300611201197456,-0.37675,0.07171368321992624,970.925,502.2,0.5172884323266651,-468.72499999999997,1.3729937325348049e-05,468.34824999999995,1.024691616890854
OAZ1,560.0,676.05,1.207195143724335,116.04999999999995,0.0009288167925788942,525.875,536.025,1.0192974951280953,10.149999999999977,0.6597826033588634,105.89999999999998,1.1843403417494187
XBP1,584.8,743.1750000000001,1.2707727816720809,158.3750000000001,0.0008561453029462943,1186.5,1256.5,1.0589920782066409,70.0,0.21346258957523875,88.37500000000011,1.1999832744963321
TRPS1,42.6575,48.79,1.1434251300941356,6.1325,4.2222139025220355e-05,398.45,338.575,0.8497679086689248,-59.875,0.006580062438102779,66.0075,1.3455734423828678
MUC1,7.0969999999999995,3.1209999999999996,0.44754758927330834,-3.976,1.8915930028603986e-05,53.3725,36.269999999999996,0.680162700453504,-17.102500000000006,0.022115146634107352,13.126500000000007,0.6580007827169916
FOS,2.75025,8.981000000000002,3.186036312604158,6.230750000000002,4.32412324611204e-07,0.412025,0.303025,0.7871197695425028,-0.10899999999999999,0.27830705192434024,6.339750000000002,4.047714764496356
WFDC2,2.80075,7.2415,2.5308971817633372,4.44075,2.706033818650269e-05,0.887425,0.063525,0.16560751449477176,-0.8239000000000001,0.0025804570899054103,5.2646500000000005,15.282502062086305
FOXA1,96.67500000000001,86.6425,0.8963316972358563,-10.032500000000013,0.008052647955701136,170.625,155.45,0.9111143652072045,-15.175000000000011,0.03343006985861549,5.142499999999998,0.9837751784673197
EVL,8.357000000000001,7.5175,0.9007331204919001,-0.839500000000001,0.109115422416835,10.20275,7.368250000000001,0.7248792798039358,-2.8344999999999994,0.0005100501595630949,1.9949999999999983,1.2425974166836842
BTG2,11.1125,10.6845,0.9618283166109253,-0.4280000000000008,0.5120174091266186,5.78275,4.8175,0.835918575496154,-0.9652500000000002,0.026622528635791277,0.5372499999999993,1.150624408651331
ANKRD30A,0.0329075,0.46635000000000004,4.2612343171002385,0.43344250000000006,2.06276624661029e-07,0.017735,0.027435,1.0823884146600418,0.0097,0.31572827660151614,0.4237425000000001,3.9368809379196965
JUN,22.9975,18.817500000000003,0.8190280333369414,-4.179999999999996,0.002970831381416756,54.0725,51.76,0.957312289445752,-2.3125,0.32913169688275645,-1.8674999999999962,0.8555494819889213
MLPH,54.2025,34.730000000000004,0.641406933382441,-19.472499999999997,6.91035204146187e-08,56.457499999999996,39.245000000000005,0.6956637050789022,-17.21249999999999,0.0004646345914855844,-2.260000000000005,0.9220071834992349
B4GALT1,32.1,21.3675,0.6666925465838509,-10.732500000000002,0.0005615654803942436,50.7275,44.800000000000004,0.8833800600068862,-5.927499999999995,0.15560739009646812,-4.805000000000007,0.7547063566033558
RHOB,186.2,198.95,1.068438003220612,12.75,0.09837286164785855,313.54999999999995,336.275,1.0724533715925395,22.725000000000023,0.10308168613829775,-9.975000000000023,0.9962559040063766
ESR1,58.822500000000005,41.9,0.7128007128007128,-16.922500000000007,4.561946553099281e-06,12.837500000000002,17.9975,1.3988405797101446,5.159999999999997,0.00027143652573154175,-22.082500000000003,0.5095653665898175
MCL1,238.29999999999998,205.47500000000002,0.8623112416107384,-32.82499999999996,0.0024833301770194253,163.725,162.175,0.9905386845719519,-1.549999999999983,0.7331023596898083,-31.274999999999977,0.8705477686450728
TPM1,10.392,12.572500000000002,1.2078250095310714,2.180500000000002,0.0003923614130112671,194.0,233.925,1.2056929417825863,39.92500000000001,0.0030124344988184757,-37.74450000000001,1.0017683339386003
GATA3,133.04999999999998,82.5475,0.6207097258730755,-50.50249999999998,1.058346235989739e-05,123.55,113.3,0.917104731095835,-10.25,0.2383360446053718,-40.25249999999998,0.6768144409541956
MDK,158.875,116.7,0.7347067148922787,-42.175,0.00016067926935760948,22.4825,31.325000000000003,1.3915642643639987,8.842500000000001,0.0014406741003631558,-51.0175,0.5279718182674584
CRIP1,11.940000000000001,6.2145,0.5244601328903654,-5.725500000000001,0.0006457918696477808,218.9,265.4,1.2123287671232876,46.49999999999997,0.00026283287632722927,-52.225499999999975,0.43260553334459523
TFF3,43.3525,26.252499999999998,0.6064668315977216,-17.1,0.0004973885295508052,30.81,76.2325,2.46950824975736,45.4225,1.386019590436894e-06,-62.5225,0.24558202292189535
CLU,252.9,182.64999999999998,0.7223320158102766,-70.25000000000003,0.000919599881489158,527.2,624.75,1.184999051773184,97.54999999999995,0.0024163854414665743,-167.79999999999998,0.609563370307688
