Gene,Loading
MUC1,106.1536555948265
XBP1,53.31495062754952
AZGP1,28.40867798448921
TFF3,24.33155899633938
MT-CO3,22.391650707783214
FOS,21.54322599456539
ANKRD30A,21.106771937673255
TPM1,20.315065673718454
MCL1,19.699447256096516
BTG2,18.234179193423014
MLPH,16.91204083538513
CRIP1,16.72650457916098
WFDC2,16.568973543370074
B4GALT1,16.47764008013202
OAZ1,16.314248137448356
CLU,15.053127996120379
TRPS1,14.839275953328048
EVL,13.83584588324099
JUN,13.458306469816627
RHOB,13.101535053316262
TACSTD2,12.994966025158178
CRABP2,12.752661760056606
MDM4,12.379718192140764
WDR26,11.923933159848119
AGR2,11.693667609361025
TMSB4X,11.187319992128097
SLC9A3R1,10.912027894603481
CIRBP,10.892927321513648
CD46,10.77496615589264
BAG1,10.674821970226244
SKIL,10.461735993614193
TFF1,10.458275630252489
MYL6,10.29224715978714
FTH1,10.007760101666346
TOB1,9.756948554238372
CA12,9.72890128640718
SLC39A6,9.394494323651925
CCNL2,9.242083657158613
MT-ATP6,9.195433286214149
MT-ND4L,9.162388500859226
SAT1,9.080805027575352
LMNA,8.998352185245727
IER2,8.895213666141581
H3F3A,8.862800592318955
CYP4X1,8.724185358560563
GATA3,8.691210889744571
ENAH,8.420912736896359
SELENOW,8.403095092603861
EGR1,8.393823217068519
CRACR2B,8.36750406470093
GLUL,8.301003223935728
KRT19,8.237059478072348
IER3,8.18759870702094
DDX5,8.129722278988023
NENF,7.995506112774768
STC2,7.9719352579212
BCAM,7.942122879180642
PDCD4,7.887772210879088
ZNF552,7.802594614711434
ACTB,7.693502297012082
MAGED2,7.633599825792866
ASPH,7.627811453485785
KIAA1324,7.586101857454524
SELENBP1,7.327817752069148
ADAR,7.318330728757047
EFNA1,7.294728064892408
RGL2,7.294703422233431
TC2N,7.27724428936972
TNFSF10,7.264581438846798
CD44,7.198237791564822
TXNIP,7.196021563869825
MT-CYB,7.029154781294948
AGR3,6.862450096578888
ASH1L,6.849320907571365
MT-CO2,6.832518581036643
TTC6,6.818065101360913
C1orf21,6.817542534469668
SLC40A1,6.802329986467985
PATJ,6.777770570007835
CTNND1,6.6581064929894165
ATF3,6.640587071680651
TIMP1,6.574108142447421
SCUBE2,6.515065633828611
JUNB,6.439929810700358
HSPB1,6.358828127265313
SIAH2,6.283801251635813
APLP2,6.209441685369444
PILRB,6.1762070947464185
SELENOP,6.151423261173042
ERBB3,6.035274974663988
KCNE4,6.021876273108918
FARP1,6.002930427594858
S100A11,5.973744108001385
ELF3,5.965021876637282
PRSS23,5.957154231974112
VTCN1,5.942504449662904
DSTN,5.884676310518101
ACTG1,5.881219637344439
NTN4,5.880322813478154
KIAA1522,5.86834483550404
