perturbation,gene,ctrl_TPM,ctrl_std,perturb_TPM,perturb_std,fold_change,pvalue,cohens_d,direction,FDR,significant_FDR
T47D_FOXA1_KD,HSP90B1,1458.6666666666667,229.24295699831944,1925.5,270.82189719444773,1.3200411334552102,0.1853682492243641,1.9141026463667385,UP,0.4014215457209853,False
T47D_FOXA1_KD,HSPA5,657.4333333333334,99.75070592899748,559.9,68.02367235014587,0.8516452872281092,0.2867296755149895,-1.0786633698090504,DOWN,0.4014215457209853,False
T47D_FOXA1_KD,CALR,2975.6666666666665,589.6518746967005,3506.0,210.71782079359116,1.178223367312647,0.2602128149788676,1.067967566444061,UP,0.4014215457209853,False
T47D_FOXA1_KD,CANX,868.6333333333333,86.99800764002204,751.5,42.14356415871816,0.8651521547258145,0.14076191951304368,-1.5600044635595804,DOWN,0.4014215457209853,False
T47D_FOXA1_KD,PDIA4,126.91666666666667,42.59736885458224,207.04999999999998,153.2300394831248,1.6313854235062375,0.5927466905333263,0.8429871582471855,UP,0.5927466905333263,False
T47D_FOXA1_KD,PDIA6,112.7,13.079373073660674,121.85000000000001,10.535891039679562,1.0811889973380657,0.45838128475266327,0.7444972968717737,NC,0.5347781655447739,False
T47D_FOXA1_KD,SEC61A1,171.26666666666668,13.842808000305904,267.2,36.48670990922585,1.5601401323472166,0.14164461350583593,4.012897253016141,UP,0.4014215457209853,False
MCF7_ER_KD,HSP90B1,392.6,0.0,529.4,0.0,1.3484462557310237,,,UP,,False
MCF7_ER_KD,HSPA5,240.9,0.0,281.4,0.0,1.1681195516811953,,,UP,,False
MCF7_ER_KD,CALR,546.2,0.0,981.8,0.0,1.7975100695715853,,,UP,,False
MCF7_ER_KD,CANX,428.7,0.0,547.6,0.0,1.277350128294845,,,UP,,False
MCF7_ER_KD,PDIA4,145.1,0.0,201.5,0.0,1.388697450034459,,,UP,,False
MCF7_ER_KD,PDIA6,116.0,0.0,151.6,0.0,1.306896551724138,,,UP,,False
MCF7_ER_KD,SEC61A1,206.7,0.0,220.8,0.0,1.0682148040638608,,,NC,,False
MCF7_FOXA1_OE,HSP90B1,515.9,0.0,962.1,0.0,1.8648962977321188,,,UP,,False
MCF7_FOXA1_OE,HSPA5,179.9,0.0,501.6,0.0,2.7882156753752083,,,UP,,False
MCF7_FOXA1_OE,CALR,698.0,0.0,1201.0,0.0,1.7206303724928367,,,UP,,False
MCF7_FOXA1_OE,CANX,537.9,0.0,533.5,0.0,0.9918200408997956,,,NC,,False
MCF7_FOXA1_OE,PDIA4,175.9,0.0,361.2,0.0,2.053439454235361,,,UP,,False
MCF7_FOXA1_OE,PDIA6,149.9,0.0,234.8,0.0,1.5663775850567045,,,UP,,False
MCF7_FOXA1_OE,SEC61A1,197.2,0.0,245.8,0.0,1.246450304259635,,,UP,,False
