gene,mean_expr,median_expr,std_expr,pct_expressing
XBP1,39.105827,38.90554,29.278671,81.65137614678899
MDK,8.106984,0.0,13.191207,37.61467889908257
CANX,1.7113912,0.0,6.4002643,10.091743119266056
ATF6,1.659385,0.0,5.734345,11.46788990825688
CALR,1.4279844,0.0,4.5686255,10.550458715596331
SEC61B,1.3780264,0.0,7.244107,5.5045871559633035
SEC61A1,1.1658792,0.0,5.243245,6.8807339449541285
ERO1A,0.974394,0.0,5.1687527,5.5045871559633035
PDIA6,0.6683487,0.0,3.2048512,4.587155963302752
HSPA5,0.46963027,0.0,2.330131,4.128440366972478
HSP90B1,0.16771685,0.0,1.2477772,1.834862385321101
PDIA4,0.09147472,0.0,0.9926319,0.9174311926605505
