gene,MCF7_WT_TPM,MCF7_D538G_TPM,MCF7_FC,MCF7_log2FC,MCF7_pvalue,MCF7_cohens_d,T47D_WT_TPM,T47D_D538G_TPM,T47D_FC,T47D_log2FC,T47D_pvalue,T47D_cohens_d,opposite_regulation,correlation_type,correlation_score,MCF7_FDR,T47D_FDR,both_significant,total_effect
MAPK4,2.08225,0.18374999999999997,0.08824588786168805,-3.502327137450653,1.7684095469114814e-11,-88.38234727397344,0.00460325,0.0245825,5.340248737305165,2.416906941111188,0.009946477180448476,2.62475349721766,True,inverse_repressor,-1.0,1.641879843829965e-07,0.03601718696640947,True,91.00710077119109
TMTC1,0.186675,1.5735000000000001,8.429087987143431,3.075376542483594,3.3087685837555757e-07,17.079702531050188,3.23425,0.08569,0.02649455051402953,-5.238160537829643,3.3746929671902662e-09,-36.80523410439526,True,same_as_secretion,1.0,2.7728886093643626e-05,2.088822456925202e-05,True,53.88493663544545
S100A9,224.7,1093.25,4.865376056964842,2.282551318788663,1.8668613902304457e-08,27.654961780674583,1652.75,520.15,0.3147178944183936,-1.6678688843008318,1.6225305839821874e-07,-19.25181035691567,True,same_as_secretion,1.0,7.974932768306698e-06,8.861403062930952e-05,True,46.90677213759025
STEAP4,0.097555,1.2195,12.500640664240684,3.643930130529726,1.907162088382893e-05,8.577761273771827,4.4915,1.074025,0.23912390070132472,-2.064169758647988,3.082820764005808e-09,-37.36540941891456,True,same_as_secretion,1.0,0.00026271582210075624,2.088822456925202e-05,True,45.94317069268639
SLC25A30,58.317499999999995,15.01,0.2573841471256484,-1.9580048974574604,2.384243633337533e-09,-39.003435040425664,3.5382499999999997,4.52675,1.2793753974422384,0.3554396454267864,0.0012290375973750265,4.050042048171294,True,inverse_repressor,-1.0,3.6894183356203876e-06,0.008625351442929544,True,43.053477088596956
AMIGO2,7.40025,52.3575,7.075098814229249,2.8227502974573087,1.1657578892012614e-08,29.920249780441253,44.290000000000006,19.77,0.4463761571460826,-1.1636681261561086,2.5853732037393697e-06,-12.07096025835535,True,same_as_secretion,1.0,6.764674451430695e-06,0.00024577472813086,True,41.9912100387966
GSTM3,67.5125,16.785,0.24862062581003516,-2.0079821061418026,6.836469940458946e-09,-32.711339947659965,217.9,351.575,1.6134694814134922,0.6901662896749889,1.3330673254473585e-05,9.123537263828945,True,inverse_repressor,-1.0,5.647126173065085e-06,0.0005692137251920257,True,41.83487721148891
S100A4,11.545,43.42999999999999,3.7618016457340833,1.911423779679777,2.010920920372136e-07,18.57051335658934,170.975,58.677499999999995,0.34319344933469803,-1.5429060790619633,7.44674047591383e-08,-21.93783599270947,True,same_as_secretion,1.0,2.326072863326073e-05,6.285387449874722e-05,True,40.50834934929881
TSKU,3.90825,18.2875,4.679204247425319,2.2262632037605066,2.3530673740134e-08,26.60477461133804,7.21775,4.90825,0.6800249385196218,-0.5563404396731276,3.5020753732670032e-06,-11.464597808822692,True,same_as_secretion,1.0,8.624563607184041e-06,0.00027617504915111035,True,38.06937242016073
MYB,5.969,23.755,3.9797285977550674,1.9926700478484027,2.6067873296197484e-08,26.152894321682485,5.3565000000000005,3.5614999999999997,0.6648931205077941,-0.588805644357531,3.8036956764671815e-06,-11.304671134543673,True,same_as_secretion,1.0,8.985447536706224e-06,0.0002867721117919178,True,37.457565456226156
FRK,1.65,8.258,5.004848484848485,2.323326394042999,1.8674033598190185e-08,27.653619329058827,1.9060000000000001,0.956675,0.5019281217208814,-0.9944473160928092,4.9301504314450004e-05,-7.273409039424182,True,same_as_secretion,1.0,7.974932768306698e-06,0.0011662160937770982,True,34.92702836848301
LCN2,4.5515,8.58775,1.8867955619026695,0.9159381124945953,0.0003112343497811127,5.237297850955939,291.95,45.037499999999994,0.15426442884055488,-2.6965226593656917,1.3554852301452738e-08,-29.175479177300453,True,same_as_secretion,1.0,0.0016279748284747835,3.583328093093019e-05,True,34.41277702825639
CD36,0.0743325,0.9506249999999999,12.788820502472001,3.676811307214592,2.351118014251372e-06,12.26699689542265,9.91025,1.70575,0.17211977498044956,-2.538515235584259,7.292678441721133e-08,-22.014822958055397,True,same_as_secretion,1.0,7.823998280758731e-05,6.285387449874722e-05,True,34.28181985347805
SLC19A2,18.3675,47.82749999999999,2.603919967333605,1.3806851072956765,3.4717291838670837e-06,11.481570559200582,64.30000000000001,17.7225,0.2756220839813374,-1.859236607520307,7.34685448867577e-08,-21.987536065270845,True,same_as_secretion,1.0,9.708816146871668e-05,6.285387449874722e-05,True,33.46910662447143
ACSL4,2.5932500000000003,7.68075,2.9618239660657473,1.5664858976048532,1.523553162147406e-08,28.61086111984823,0.867025,0.476125,0.5491479484443932,-0.8647332102617588,0.0016978816164434356,-3.8032545793392543,True,same_as_secretion,1.0,7.4646193269811035e-06,0.010643663639441397,True,32.414115699187484
S100A8,47.18000000000001,273.15,5.789529461636286,2.533446099345894,3.092889276152603e-07,17.274575315056364,410.74999999999994,147.65,0.359464394400487,-1.4760792187034821,7.116732506513304e-07,-15.013302181444017,True,same_as_secretion,1.0,2.658882452262856e-05,0.00015017114308346082,True,32.28787749650038
PHLDA1,8.05,2.17525,0.2702173913043478,-1.8878075647792527,7.985985575390159e-08,-21.68230714566794,18.0875,29.99,1.6580511402902558,0.7294885054496534,6.612189971316696e-06,10.288033796198496,True,inverse_repressor,-1.0,1.4978966277719176e-05,0.00039102469929101823,True,31.97034094186644
RDH16,0.554975,2.293,4.131717644938962,2.046741666070127,1.0985790951395602e-05,9.431754404448826,61.41250000000001,10.2375,0.16670059027071035,-2.5846688821100097,7.137269313289503e-08,-22.094428364518944,True,same_as_secretion,1.0,0.00018760436326088065,6.285387449874722e-05,True,31.52618276896777
PLXND1,6.1442499999999995,11.3525,1.8476624486308337,0.8857012133733373,6.945756955173766e-08,22.19535277597868,38.375,22.607499999999998,0.5891205211726384,-0.7633652867886159,1.4325305287842141e-05,-9.011330342202069,True,same_as_secretion,1.0,1.4579135358753175e-05,0.000598798809712877,True,31.20668311818075
ID1,159.375,63.2875,0.39709803921568626,-1.3324328577237716,6.022770524092962e-08,-22.73192762526564,138.825,218.675,1.5751845849090584,0.6555208979010663,3.5966546750794474e-05,7.684785500399991,True,inverse_repressor,-1.0,1.3959801552935508e-05,0.0009875592040497923,True,30.41671312566563
SLITRK6,0.28769999999999996,8.323,28.92944038929441,4.854466510951336,1.980912227503998e-08,27.38205233927101,2.0437499999999997,1.46475,0.7166972477064221,-0.4805642806648593,0.008087388890012023,-2.7498388796929065,True,same_as_secretion,1.0,7.974932768306698e-06,0.031143659124561022,True,30.131891218963915
XK,0.456225,1.599,3.5048495807989477,1.8093525287745338,1.0140565280246359e-07,20.831287488679887,1.608,0.44282499999999997,0.2753886815920398,-1.8604588286119783,1.4740250791228687e-05,-8.967165491092665,True,same_as_secretion,1.0,1.637836082782224e-05,0.0006016399900146041,True,29.798452979772552
CLCA2,0.06992999999999999,2.9375,42.006292006292014,5.392533536264427,3.557049335946247e-07,16.873120088224688,6.41075,3.34875,0.5223647779121008,-0.9368704729736829,1.919380716968731e-06,-12.696116474250658,True,same_as_secretion,1.0,2.8350735058567865e-05,0.00022972294447094494,True,29.569236562475346
SAA2,0.065025,0.284725,4.378700499807766,2.1305027737871405,0.013035696409959168,2.4654666698598486,18.5625,2.08125,0.11212121212121211,-3.1568688486168663,2.129812256536444e-08,-27.052125774463093,True,same_as_secretion,1.0,0.027878708624110946,4.357811614941504e-05,True,29.517592444322943
LRG1,5.793,16.875,2.9129984464008287,1.5425049320411115,2.113957402218858e-07,18.415321172616334,2.3555,0.267475,0.1135533856930588,-3.1385573729925658,6.029891612825913e-06,-10.451231688250498,True,same_as_secretion,1.0,2.3324733550379082e-05,0.0003707584680747165,True,28.866552860866832
SLC16A1,8.14325,34.7775,4.270715009363584,2.0944776281846895,7.623316164818292e-08,21.851850323624955,0.823275,0.08392,0.10193434757523306,-3.2942878340914943,7.468211029141771e-05,-6.762117155804903,True,same_as_secretion,1.0,1.4978966277719176e-05,0.001456693388656865,True,28.61396747942986
VAV3,2.12225,7.808,3.679114147720579,1.8793584378753632,8.866054399306812e-08,21.305686939268057,44.6125,31.465,0.7052956010086859,-0.5037000533643335,8.665968233523318e-05,-6.5869680749242825,True,same_as_secretion,1.0,1.5386333097264318e-05,0.001596412342542604,True,27.89265501419234
SEMA3C,333.95000000000005,512.425,1.534436292858212,0.6177087488441684,1.0715683909725794e-05,9.472119272601455,473.8,193.225,0.4078197551709582,-1.2939964323409399,2.506148881618344e-07,-17.896282127529645,True,same_as_secretion,1.0,0.00018544225025134974,0.00010341484129504674,True,27.3684014001311
EHF,13.100000000000001,16.0325,1.2238549618320609,0.29143259541298083,0.0021240655106228683,3.6385899880205046,252.92499999999998,127.875,0.5055846594840369,-0.9839754051501601,4.664546358508726e-08,-23.725976142254,True,same_as_secretion,1.0,0.006652348198137299,6.190143606354704e-05,True,27.364566130274508
CRIM1,19.805,5.3995,0.27263317344105026,-1.8749669779127192,1.6338416393899177e-06,-13.047096255195276,37.682500000000005,67.255,1.7847807337623562,0.835746845266001,1.0068313676537947e-06,14.159688988388837,True,inverse_repressor,-1.0,6.4161931475635e-05,0.0001725577223839074,True,27.206785243584115
SPTSSA,50.275,169.67499999999998,3.3749378418697162,1.754860931481363,5.888983316180623e-07,15.50020302682695,86.33,41.162499999999994,0.4768041237113401,-1.0685313816708157,3.1172852890477236e-06,-11.693600479196741,True,same_as_secretion,1.0,3.6695480267838255e-05,0.00026344016124559466,True,27.19380350602369
NFKBIZ,18.795,33.315,1.7725458898643254,0.82582297822512,1.4243217621521455e-07,19.67739820199816,19.195,10.35425,0.5394243292524095,-0.8905075030501266,5.462897254147428e-05,-7.143939622308836,True,same_as_secretion,1.0,1.944722853044352e-05,0.001221991378567854,True,26.821337824306994
ADORA2A,0.36734999999999995,2.47925,6.749013202667756,2.754676575987051,1.1007739580958596e-07,20.54661961529726,1.2232500000000002,0.4007,0.327569997956264,-1.6101248678896052,0.00021176924637019654,-5.616195667758364,True,same_as_secretion,1.0,1.703355968990168e-05,0.002721344730690782,True,26.162815283055625
PARD6B,153.35,289.45,1.8875122269318552,0.9164859899618593,1.2306939491163681e-07,20.165729370736567,95.4675,70.99000000000001,0.7436038442401866,-0.4273938662492292,0.00014983936375558503,-5.976184311734608,True,same_as_secretion,1.0,1.8200128367424345e-05,0.002229091377905492,True,26.141913682471177
PARP9,3.30275,17.0125,5.151010521535084,2.364855486935788,2.289515551128446e-06,12.322345133848986,9.443750000000001,5.157,0.5460754467240237,-0.8728278047403367,1.413114685946945e-06,-13.371406966583125,True,same_as_secretion,1.0,7.685818247210141e-05,0.00020174590356892725,True,25.69375210043211
ITPRID2,23.955000000000002,54.535000000000004,2.27656021707368,1.1868556204485265,1.2133250548360875e-07,20.21386549605074,20.785,14.235,0.684868895838345,-0.5461002548821068,0.000260611163479675,-5.409222167687147,True,same_as_secretion,1.0,1.8200128367424345e-05,0.0031423952562688864,True,25.623087663737888
ADD3,7.2379999999999995,19.0675,2.6343603205305333,1.3974526869346982,4.753418561361353e-07,16.0696473263084,18.2875,12.3525,0.6754613807245385,-0.5660548085783383,1.709401858388439e-05,-8.741262975718817,True,same_as_secretion,1.0,3.290031648133147e-05,0.0006544718166683489,True,24.810910302027217
PODXL,7.185,15.6775,2.1819763395963814,1.1256354577879928,1.0037419677262033e-07,20.867027674500847,2.891,2.0919999999999996,0.7236250432376339,-0.4666857572301084,0.0017942868036993887,-3.7621772252622114,True,same_as_secretion,1.0,1.637836082782224e-05,0.010998054567522546,True,24.629204899763057
RHOBTB1,0.29735,2.24275,7.542458382377669,2.915034830920801,1.2724026163452094e-07,20.05330095977655,2.19175,1.278,0.5830956997832782,-0.7781954116807746,0.0008671493139550658,-4.329363477928185,True,same_as_secretion,1.0,1.843292978158894e-05,0.00677072191015757,True,24.382664437704733
C1orf226,0.8284499999999999,4.04525,4.882913875309313,2.287742331987271,1.4851013874194426e-07,19.53990170782668,3.22975,2.04175,0.6321696725752767,-0.6616162691905588,0.0005848952022292431,-4.66211380189047,True,same_as_secretion,1.0,2.012908588539535e-05,0.005239227694257027,True,24.20201550971715
BTN3A3,0.447175,2.39975,5.3664672667300275,2.4239726777897945,1.526189663601426e-07,19.450615158394672,3.8669999999999995,1.86525,0.48235065942591165,-1.051845756144744,0.0006956436380017214,-4.513224251456579,True,same_as_secretion,1.0,2.0388356736269697e-05,0.005826525355910674,True,23.963839409851253
EGF,0.178975,0.6225999999999999,3.4786981421986307,1.798547497110456,0.0015293083267010974,3.8818955786674394,9.553999999999998,3.7072499999999997,0.38803119112413653,-1.3657554696103362,1.3313078945988813e-07,-19.901631629716054,True,same_as_secretion,1.0,0.005170744049255768,8.240352098268876e-05,True,23.783527208383493
HSD17B6,1.98925,4.997999999999999,2.512504712831469,1.32912630242976,5.161838209920773e-05,7.215204477879827,47.5975,13.4075,0.2816849624455066,-1.8278455463834646,4.2573689770270226e-07,-16.3705519626614,True,same_as_secretion,1.0,0.0004752115702529441,0.00013175847422402465,True,23.585756440541225
NAALADL2,0.855175,2.14975,2.5138129622591867,1.329877311469077,3.5664646614241247e-06,11.429144552015396,8.69975,4.65525,0.5351015833788327,-0.9021152969714281,2.6489600103846965e-06,-12.021298402791881,True,same_as_secretion,1.0,9.855012246723896e-05,0.000248426961781987,True,23.45044295480728
TNFRSF12A,297.425,148.575,0.4995376985794738,-1.0013345369870406,1.716194976045639e-06,-12.938954086780535,134.02499999999998,229.9,1.7153516135049434,0.7785043309555335,5.963037675474457e-06,10.47113531481621,True,inverse_repressor,-1.0,6.597934681199062e-05,0.00037063172862939576,True,23.410089401596746
F7,0.36945,0.7904500000000001,2.139531736364867,1.0972950790813505,0.0006164147779046436,4.616646231413617,4.210999999999999,0.884425,0.2100273094276894,-2.251351164070782,2.0101342026454238e-07,-18.57173371100327,True,same_as_secretion,1.0,0.002638712462468712,9.331545502230718e-05,True,23.188379942416887
GTF2E1,18.905,29.71,1.5715419201269505,0.65218075584818,2.588752881969927e-07,17.79902463383792,36.1275,25.387500000000003,0.7027195349802783,-0.5089790901246181,0.0002788325097757124,-5.343222965686456,True,same_as_secretion,1.0,2.516782841115161e-05,0.0032999623161409837,True,23.142247599524374
