gene,chr,tss,MCF7_WT_binding,MCF7_D538G_binding,MCF7_binding_diff,T47D_WT_binding,T47D_D538G_binding,T47D_binding_diff,has_any_binding,has_differential_binding,has_opposite_binding,MCF7_FC,T47D_FC,correlation_type,total_effect
MAPK4,chr18,50559451,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.088245887861688,5.340248737305165,inverse_repressor,91.00710077119108
TMTC1,chr12,29784759,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,8.429087987143431,0.0264945505140295,same_as_secretion,53.88493663544545
S100A9,chr1,153357767,197.51,256.25,58.74000000000001,0.0,279.98,279.98,True,True,False,4.865376056964842,0.3147178944183936,same_as_secretion,46.90677213759025
STEAP4,chr7,88307010,104.33,0.0,-104.33,0.0,0.0,0.0,True,True,False,12.500640664240684,0.2391239007013247,same_as_secretion,45.94317069268639
SLC25A30,chr13,45418455,0.0,0.0,0.0,0.0,70.95,70.95,True,True,False,0.2573841471256484,1.2793753974422384,inverse_repressor,43.05347708859696
AMIGO2,chr12,47080902,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,7.075098814229249,0.4463761571460826,same_as_secretion,41.9912100387966
GSTM3,chr1,109741038,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.2486206258100351,1.6134694814134922,inverse_repressor,41.83487721148891
S100A4,chr1,153550136,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.7618016457340833,0.343193449334698,same_as_secretion,40.50834934929881
TSKU,chr11,76781403,3328.79,2392.11,-936.6799999999998,644.5,3243.73,2599.23,True,True,True,4.679204247425319,0.6800249385196218,same_as_secretion,38.06937242016073
MYB,chr6,135181308,549.14,0.0,-549.14,0.0,239.67,239.67,True,True,True,3.9797285977550674,0.6648931205077941,same_as_secretion,37.45756545622616
FRK,chr6,116061093,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,5.004848484848485,0.5019281217208814,same_as_secretion,34.92702836848301
LCN2,chr9,128149071,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.8867955619026693,0.1542644288405548,same_as_secretion,34.41277702825639
CD36,chr7,80369532,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,12.788820502472,0.1721197749804495,same_as_secretion,34.28181985347805
SLC19A2,chr1,169485944,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.603919967333605,0.2756220839813374,same_as_secretion,33.46910662447143
ACSL4,chrX,109733403,61.13,0.0,-61.13,0.0,0.0,0.0,True,True,False,2.9618239660657477,0.5491479484443932,same_as_secretion,32.414115699187484
S100A8,chr1,153391142,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,5.789529461636286,0.359464394400487,same_as_secretion,32.28787749650038
PHLDA1,chr12,76031776,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.2702173913043478,1.6580511402902558,inverse_repressor,31.97034094186644
RDH16,chr12,56959374,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,4.131717644938962,0.1667005902707103,same_as_secretion,31.52618276896777
PLXND1,chr3,129606681,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.8476624486308335,0.5891205211726384,same_as_secretion,31.20668311818075
ID1,chr20,31573014,50.68,0.0,-50.68,0.0,0.0,0.0,True,True,False,0.3970980392156862,1.5751845849090584,inverse_repressor,30.41671312566563
SLITRK6,chr13,85806683,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,28.92944038929441,0.7166972477064221,same_as_secretion,30.131891218963915
XK,chrX,37685791,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.504849580798948,0.2753886815920398,same_as_secretion,29.798452979772552
CLCA2,chr1,86424171,0.0,65.18,65.18,0.0,0.0,0.0,True,True,False,42.006292006292014,0.5223647779121008,same_as_secretion,29.569236562475343
SAA2,chr11,18248668,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,4.378700499807766,0.1121212121212121,same_as_secretion,29.517592444322943
LRG1,chr19,4540067,1148.98,283.65,-865.33,0.0,288.73,288.73,True,True,True,2.9129984464008287,0.1135533856930588,same_as_secretion,28.866552860866832
SLC16A1,chr1,112957593,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,4.270715009363584,0.101934347575233,same_as_secretion,28.61396747942986
VAV3,chr1,107965180,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.679114147720579,0.7052956010086859,same_as_secretion,27.89265501419234
SEMA3C,chr7,80922379,0.0,0.0,0.0,0.0,154.46,154.46,True,True,False,1.534436292858212,0.4078197551709582,same_as_secretion,27.3684014001311
EHF,chr11,34617044,0.0,0.0,0.0,0.0,58.82,58.82,True,True,False,1.2238549618320609,0.5055846594840369,same_as_secretion,27.364566130274508
CRIM1,chr2,36355731,61.35,0.0,-61.35,0.0,0.0,0.0,True,True,False,0.2726331734410502,1.7847807337623562,inverse_repressor,27.206785243584115
SPTSSA,chr14,34462240,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.374937841869716,0.4768041237113401,same_as_secretion,27.19380350602369
NFKBIZ,chr3,101827991,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.7725458898643254,0.5394243292524095,same_as_secretion,26.821337824306998
ADORA2A,chr22,24417879,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,6.749013202667756,0.327569997956264,same_as_secretion,26.162815283055625
PARD6B,chr20,50731382,1417.52,0.0,-1417.52,1212.46,3100.0,1887.54,True,True,True,1.8875122269318552,0.7436038442401866,same_as_secretion,26.141913682471177
PARP9,chr3,122565478,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,5.151010521535084,0.5460754467240237,same_as_secretion,25.69375210043211
ITPRID2,chr2,181891730,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.27656021707368,0.684868895838345,same_as_secretion,25.623087663737888
ADD3,chr10,109996356,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.6343603205305333,0.6754613807245385,same_as_secretion,24.810910302027217
PODXL,chr7,131558217,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.1819763395963814,0.7236250432376339,same_as_secretion,24.629204899763057
RHOBTB1,chr10,61001441,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,7.542458382377669,0.5830956997832782,same_as_secretion,24.382664437704733
C1orf226,chr1,162378841,0.0,0.0,0.0,0.0,52.61,52.61,True,True,False,4.882913875309313,0.6321696725752767,same_as_secretion,24.20201550971715
BTN3A3,chr6,26440452,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,5.366467266730028,0.4823506594259116,same_as_secretion,23.963839409851253
EGF,chr4,109912883,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.4786981421986307,0.3880311911241365,same_as_secretion,23.783527208383493
HSD17B6,chr12,56751817,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.512504712831469,0.2816849624455066,same_as_secretion,23.585756440541225
NAALADL2,chr3,174438573,0.0,0.0,0.0,0.0,172.79,172.79,True,True,False,2.5138129622591867,0.5351015833788327,same_as_secretion,23.45044295480728
TNFRSF12A,chr16,3018445,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.4995376985794738,1.7153516135049434,inverse_repressor,23.410089401596743
F7,chr13,113105762,111.01,0.0,-111.01,0.0,0.0,0.0,True,True,False,2.139531736364867,0.2100273094276894,same_as_secretion,23.188379942416887
GTF2E1,chr3,120742370,0.0,0.0,0.0,0.0,66.71,66.71,True,True,False,1.5715419201269505,0.7027195349802783,same_as_secretion,23.14224759952437
CLIC3,chr9,136996568,1115.39,705.77,-409.6200000000001,0.0,388.18,388.18,True,True,True,0.4867508555161866,1.3626574192370866,inverse_repressor,23.122308362410337
PRKG1,chr10,50990888,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.3130169867060561,2.6844859284401075,inverse_repressor,23.0995427289988
NR5A2,chr1,200027597,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.577699657472508,0.6872837968728379,same_as_secretion,22.752334205826536
LHFPL6,chr13,39603735,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.3637748263677349,1.665845755022683,inverse_repressor,22.58764226610183
DOCK10,chr2,225042468,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.771700105596621,0.2583902190524706,same_as_secretion,22.574244463775763
HMGA1,chr6,34235618,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.608984481350395,0.6402565367538234,same_as_secretion,22.537410626517456
SIX4,chr14,60724351,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.31189861534851,0.5347579622585216,same_as_secretion,22.215650405382227
NREP,chr5,111997464,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.3818559916818303,0.6638295826120408,same_as_secretion,22.047706384911063
ARMCX2,chrX,101659924,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.0366697905015267,0.5962556088503791,same_as_secretion,21.795118838722946
CHI3L2,chr1,111200771,52.71,0.0,-52.71,0.0,69.35,69.35,True,True,True,18.17059592389989,0.4255599820594676,same_as_secretion,21.76766169394579
MAFB,chr20,40689236,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.334772500830289,0.3132928496486821,same_as_secretion,21.723113763839983
SLPI,chr20,45254564,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,19.571780408357828,0.2525872817955112,same_as_secretion,21.68523012986059
DENND11,chr7,141702166,66.17,0.0,-66.17,0.0,187.92000000000002,187.92000000000002,True,True,True,1.4971368502586515,0.6964326289479664,same_as_secretion,21.46810202517653
TIPARP,chr3,156673235,332.75,69.33,-263.42,50.14,592.55,542.41,True,True,True,2.258196616416268,0.64510815855935,same_as_secretion,21.44480262738002
TM4SF1,chr3,149377692,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0303880519704752,1.240681233933162,inverse_repressor,21.39866929264006
